reaction_id,reaction_name,annotation_source,mnxr_id,ec_code,timestamp
R1,(R)-lactate:ferricytochrome-c 2-oxidoreductase,metanetx-auto,MNXR151784,1.1.2.4,2026-05-20T07:35:30.551494+00:00
R10,"2,3-diketo-5-methylthio-1-phosphopentane degradation reaction",metanetx-auto,MNXR126322,1.13.11.53,2026-05-20T07:35:30.551494+00:00
R100,acyl-CoA oxidase (hexadecanoyl-CoA),metanetx-auto,MNXR152839,,2026-05-20T07:35:30.551494+00:00
R1000,acetate transport,metanetx-auto,MNXR198283,,2026-05-20T07:35:30.551494+00:00
R1001,acetyl-CoA transport,metanetx-auto,MNXR190521,,2026-05-20T07:35:30.551494+00:00
R1002,acetylcarnitine transport,metanetx-auto,MNXR95412,,2026-05-20T07:35:30.551494+00:00
R1003,adenine exchange,metanetx-auto,MNXR95445,,2026-05-20T07:35:30.551494+00:00
R1004,adenine transport,metanetx-auto,MNXR95445,,2026-05-20T07:35:30.551494+00:00
R1005,"adenosine 3',5'-bismonophosphate exchange",metanetx-auto,MNXR188619,,2026-05-20T07:35:30.551494+00:00
R1006,"adenosine 3',5'-bisphosphate transport",metanetx-auto,MNXR188619,,2026-05-20T07:35:30.551494+00:00
R1007,adenosine exchange,metanetx-auto,MNXR190593,,2026-05-20T07:35:30.551494+00:00
R1008,ADP transport,metanetx-auto,MNXR95484,,2026-05-20T07:35:30.551494+00:00
R1009,ADP transport,metanetx-auto,MNXR95484,,2026-05-20T07:35:30.551494+00:00
R101,acyl-CoA oxidase (octadecanoyl-CoA),metanetx-auto,MNXR152841,,2026-05-20T07:35:30.551494+00:00
R1010,"AKG transporter, peroxisome",metanetx-auto,MNXR95663,,2026-05-20T07:35:30.551494+00:00
R1011,allantoate exchange,metanetx-auto,MNXR95773,,2026-05-20T07:35:30.551494+00:00
R1012,allantoin exchange,metanetx-auto,MNXR198871,,2026-05-20T07:35:30.551494+00:00
R1013,"alpha,alpha-trehalose exchange",unannotated,,,2026-05-20T07:35:30.551494+00:00
R1014,alpha-D-glucosamine 6-phosphate exchange,metanetx-auto,MNXR188089,,2026-05-20T07:35:30.551494+00:00
R1015,alpha-ketoglutarate/malate transporter,metanetx-auto,MNXR95659,,2026-05-20T07:35:30.551494+00:00
R1016,ammonium exchange,unannotated,,,2026-05-20T07:35:30.551494+00:00
R1017,AMP transport,metanetx-auto,MNXR95830,,2026-05-20T07:35:30.551494+00:00
R1018,arginine transport,metanetx-auto,MNXR95951,,2026-05-20T07:35:30.551494+00:00
R1019,asparagine transport,metanetx-auto,MNXR96069,,2026-05-20T07:35:30.551494+00:00
R102,acyl-CoA oxidase (tetradecanoyl-CoA),metanetx-auto,MNXR152835,,2026-05-20T07:35:30.551494+00:00
R1020,aspartate-glutamate transporter,metanetx-auto,MNXR96083,,2026-05-20T07:35:30.551494+00:00
R1021,ATP diffusion,metanetx-auto,MNXR96140,,2026-05-20T07:35:30.551494+00:00
R1022,ATP transport,metanetx-auto,MNXR96140,,2026-05-20T07:35:30.551494+00:00
R1023,bicarbonate exchange,metanetx-auto,MNXR100484,,2026-05-20T07:35:30.551494+00:00
R1024,bicarbonate formation,unannotated,,,2026-05-20T07:35:30.551494+00:00
R1025,bicarbonate formation,unannotated,,,2026-05-20T07:35:30.551494+00:00
R1026,bicarbonate formation,unannotated,,,2026-05-20T07:35:30.551494+00:00
R1027,bicarbonate formation,unannotated,,,2026-05-20T07:35:30.551494+00:00
R1028,bicarbonate transport,metanetx-auto,MNXR100484,,2026-05-20T07:35:30.551494+00:00
R1029,biotin exchange,metanetx-auto,MNXR96333,,2026-05-20T07:35:30.551494+00:00
R103,"acyl-CoA:sterol acyltransferase (oleoyl-CoA:episterol), ER membrane",metanetx-auto,MNXR168010,,2026-05-20T07:35:30.551494+00:00
R1030,carbon dioxide exchange,metanetx-auto,MNXR96810,,2026-05-20T07:35:30.551494+00:00
R1031,carnitine transport,metanetx-auto,MNXR96906,,2026-05-20T07:35:30.551494+00:00
R1032,carnitine-acetylcarnitine carrier,metanetx-auto,MNXR190832,,2026-05-20T07:35:30.551494+00:00
R1033,CDP transport,metanetx-auto,MNXR190804,,2026-05-20T07:35:30.551494+00:00
R1034,ceramide transport,unannotated,,,2026-05-20T07:35:30.551494+00:00
R1035,ceramide transport,unannotated,,,2026-05-20T07:35:30.551494+00:00
R1036,ceramide transport,unannotated,,,2026-05-20T07:35:30.551494+00:00
R1037,ceramide transport,unannotated,,,2026-05-20T07:35:30.551494+00:00
R1038,ceramide transport,unannotated,,,2026-05-20T07:35:30.551494+00:00
R1039,ceramide transport,unannotated,,,2026-05-20T07:35:30.551494+00:00
R104,"acyl-CoA:sterol acyltransferase (oleoyl-CoA:ergosterol), ER membrane",claude-batch,MNXR119161,,2026-05-20T07:24:23.512718+00:00
R1040,"cholestenol delta-isomerase, lumped reaction",metanetx-auto,MNXR190810,,2026-05-20T07:35:30.551494+00:00
R1041,choline exchange,metanetx-auto,MNXR198906,,2026-05-20T07:35:30.551494+00:00
R1042,choline transport,metanetx-auto,MNXR198906,,2026-05-20T07:35:30.551494+00:00
R1043,chorismate pyruvate lyase,metanetx-auto,MNXR96711,,2026-05-20T07:35:30.551494+00:00
