met_name,met_id,exchange_id
(1-3)-beta-D-glucan_,m510[C_ex],R941
(R)-3-Hydroxybutanoate,m1849[C_ex],R1994
(R)-carnitine_C7H15NO3,m1069[C_ex],R943
"(R,R)-2,3-butanediol_ActiveX VT_ERROR:",m1020[C_ex],R947
(S)-lactate_C3H6O3,m1079[C_ex],R948
1-(sn-glycero-3-phospho)-1D-myo-inositol_C9H18O11P,m1053[C_ex],R950
1-acylglycerophosphocholine_C9H20NO7PR,m1133[C_ex],R951
2'-deoxyadenosine_C10H13N5O3,m1135[C_ex],R954
2'-deoxyguanosine_C10H13N5O4,m1137[C_ex],R955
2'-deoxyinosine_C10H12N4O4,m1139[C_ex],R956
2'-deoxyuridine_,m1141[C_ex],R957
2-Deoxy-D-Ribose,m1837[C_ex],R1983
3-oxalomalate,m1856[C_ex],R2005
5-Keto-D-Gluconic Acid,m1851[C_ex],R1998
5-aminolevulinate_C5H9NO3,m1022[C_ex],R987
5-aminopentanoate,m1844[C_ex],R1990
5-formyltetrahydrofolic acid_C20H21N7O7,m1023[C_ex],R991
"7,8-diaminononanoate_C9H20N2O2",m1152[C_ex],R992
8-amino-7-oxononanoate_C9H17NO3,m1024[C_ex],R994
Ala-Gly,m1876[C_ex],R2031
D-Glucosamine,m1847[C_ex],R1992
D-fructose_C6H12O6,m963[C_ex],R1065
D-galactose_C6H12O6,m1042[C_ex],R1066
D-galacturonate_ActiveX VT_ERROR:,m1197[C_ex],R1067
D-glucitol_C6H14O6,m1199[C_ex],R1068
D-gluconate,m1858[C_ex],R2014
D-mannitol_,m1824[C_ex],R1967
D-mannose_C6H12O6,m1044[C_ex],R1071
D-ribose_C5H10O5,m1203[C_ex],R1072
D-xylose_C5H10O5,m1205[C_ex],R1074
Dihydroxy-Acetone,m1880[C_ex],R2008
FMN_C17H21N4O9P,m213[C_ex],R1126
Gly-Asp,m1869[C_ex],R2018
Gly-Pro,m1864[C_ex],R2036
Gly_Glu,m1860[C_ex],R2026
Indole_3_acetonitrile,m1895[C_ex],R2208
L-arabinitol_C5H12O5,m1281[C_ex],R1198
L-arabinose_C5H10O5,m1283[C_ex],R1201
L-glucitol_C6H14O6,m1289[C_ex],R1209
L-homoserine_C4H9NO3,m1294[C_ex],R1216
L-sorbose_C6H12O6,m1303[C_ex],R1229
Magnesium,m1892[C_ex],R2061
NMN_C11H15N2O8P,m1337[C_ex],R1269
Palatinose,m1838[C_ex],R1984
S-adenosyl-L-methionine_C15H22N6O5S,m1104[C_ex],R1319
S-methyl-L-methionine_C6H13NO2S,m1105[C_ex],R1320
Salicin,m1841[C_ex],R1986
TDP_,m971[C_ex],R1339
TMP_,m973[C_ex],R1341
adenine_C5H5N5,m1026[C_ex],R1003
adenosine_C10H13N5O4,m1027[C_ex],R1007
allantoate_C4H8N4O4,m1029[C_ex],R1011
allantoin_C4H6N4O3,m1030[C_ex],R1012
alpha_Aminopropiononitrile,m1897[C_ex],R2211
bicarbonate_CHO3,m1172[C_ex],R1023
biotin_C10H16N2O3S,m1032[C_ex],R1029
choline_C5H14NO,m1037[C_ex],R1041
cytidine_C9H13N3O5,m1040[C_ex],R1058
cytosine_C4H5N3O,m1041[C_ex],R1061
decanoate_C10H20O2,m1207[C_ex],R1083
deoxycytidine_C9H13N3O4,m1209[C_ex],R1086
ethanolamine_C2H7NO,m1047[C_ex],R1115
folate_ActiveX VT_ERROR:,m1050[C_ex],R1127
gamma-aminobutyrate_C4H9NO2,m1021[C_ex],R1134
gamma_Amino_gamma_cyanobutanoate,m1899[C_ex],R2214
glutathione disulfide_C20H32N6O12S2,m1237[C_ex],R1139
glutathione_C10H17N3O6S,m1052[C_ex],R1140
glycolaldehyde_C2H4O2,m1242[C_ex],R1147
guanosine_C10H13N5O5,m1247[C_ex],R1153
hexadecanal_C16H32O,m1252[C_ex],R1166
hexadecane_,m1787[C_ex],R2272
inosine_C10H12N4O5,m1261[C_ex],R1176
iron_Fe,m1273[C_ex],R1189
isoamyl acetate_ActiveX VT_ERROR:,m1062[C_ex],R1190
isoamylol_C5H12O,m1277[C_ex],R1193
maltose_C12H22O11,m1322[C_ex],R1249
melibiose_C12H22O11,m1637[C_ex],R1713
myo-inositol_C6H12O6,m1060[C_ex],R1263
pectin_ActiveX VT_ERROR:,m1351[C_ex],R1294
potassium_K.H,m1099[C_ex],R1298
pyridoxal,mpyridoxal[C_ex],R2270
pyridoxine_C8H11NO3,m1357[C_ex],R1305
raffinose_C18H32O16,m1636[C_ex],R1712
riboflavin_C17H20N4O6,m216[C_ex],R1314
sodium_Na.H,m1108[C_ex],R1323
sucrose_C12H22O11,m962[C_ex],R1332
taurine_C2H7NO3S,m1115[C_ex],R1335
thiamine_,m972[C_ex],R1340
thymidine_C10H14N2O5,m1378[C_ex],R1346
trehalose_C12H22O11,m1167[C_ex],R1013
tributyrin_,m1807[C_ex],R2275
triolein,mtriolein[C_ex],R2273
uracil_C4H4N2O2,m1117[C_ex],R1354
uridine_C9H12N2O6,m1119[C_ex],R1356
xanthosine_C10H12N4O6,m1386[C_ex],R1366
xylitol_C5H12O5,m1388[C_ex],R1368
zymosterol_C27H44O,m1390[C_ex],R1369
