rxn_id,rxn_name,rxn_type,root_cause,detail,has_gpr,lb,ub,compartments,n_orphan_mets,n_deadend_mets,orphan_mets,deadend_mets,reaction_str
R1027,bicarbonate formation,metabolic,bound_zero,lb==ub==0,False,0.0,0.0,C_ex,0,0,,,m1176[C_ex] + m214[C_ex] --> m1172[C_ex] + m342[C_ex]
R1040,"cholestenol delta-isomerase, lumped reaction",metabolic,bound_zero,lb==ub==0,False,0.0,0.0,C_cy,0,0,,,m109[C_cy] + m256[C_cy] + m359[C_cy] --> m10[C_cy] + m255[C_cy] + 2.0 m32[C_cy] + m353[C_cy]
R1138,"glucose transport, vacuolar",transport,bound_zero,lb==ub==0,False,0.0,0.0,"C_cy,C_va",0,1,,m1236[C_va],m295[C_cy] --> m1236[C_va]
R1163,H+ diffusion,transport,bound_zero,lb==ub==0,False,0.0,0.0,"C_cy,C_va",0,0,,,m10[C_cy] --> m1007[C_va]
R1297,phosphate transport,transport,bound_zero,lb==ub==0,False,0.0,0.0,"C_cy,C_va",0,1,,m1354[C_va],m35[C_cy] --> m1354[C_va]
R1349,trehalose vacuolar transport,transport,bound_zero,lb==ub==0,False,0.0,0.0,"C_cy,C_va",0,1,,m1380[C_va],m294[C_cy] --> m1380[C_va]
R1363,water diffusion,transport,bound_zero,lb==ub==0,False,0.0,0.0,"C_cy,C_va",0,0,,,m32[C_cy] --> m1384[C_va]
R1371,lipid pseudoreaction,metabolic,bound_zero,lb==ub==0,False,0.0,0.0,C_cy,1,0,m1394[C_cy],,0.0056 m1000[C_cy] + 0.000417 m1190[C_cy] + 0.001583 m1393[C_cy] + 0.000812 m1394[C_cy] + 0.000206 m1395[C_cy] + 0.00039 m1396[C_cy] + 0.00288 m1397[C_cy] + 0.000697 m1398[C_cy] + 0.000781 m1399[C_cy] + 5.6e-05 m351[C_cy] + 0.000125 m353[C_cy] + 1.5e-05 m359[C_cy] + 9.6e-05 m362[C_cy] + 0.000114 m363[C_cy] + 3.2e-05 m449[C_cy] --> m1400[C_cy]
R1387,yeast 6 biomass pseudoreaction,transport,bound_zero,lb==ub==0,False,0.0,0.0,"C_cy,C_en",0,0,,,0.2646 m1011[C_cy] + 1.1348 m1123[C_cy] + 1.1348 m12[C_en] + 0.8079 m1324[C_cy] + m1400[C_cy] + 59.276 m141[C_cy] + 0.0599 m149[C_cy] + 0.4588 m274[C_cy] + 0.0234 m294[C_cy] + 0.1607 m315[C_cy] + 0.1017 m321[C_cy] + 59.276 m32[C_cy] + 0.2975 m336[C_cy] + 0.0066 m448[C_cy] + 0.0024 m459[C_cy] + 0.0024 m465[C_cy] + 0.0036 m505[C_cy] + 0.5185 m549[C_cy] + 0.1054 m554[C_cy] + 0.3018 m556[C_cy] + 0.2904 m591[C_cy] + 0.0663 m619[C_cy] + 0.1927 m747[C_cy] + 0.2964 m778[C_cy] + 0.2862 m795[C_cy] + 0.0507 m807[C_cy] + 0.1339 m862[C_cy] + 0.046 m86[C_cy] + 0.0036 m89[C_cy] + 0.1647 m906[C_cy] + 0.00099 m926[C_cy] + 0.046 m93[C_cy] + 0.1854 m944[C_cy] + 0.0447 m95[C_cy] + 0.02 m964[C_cy] + 0.1914 m979[C_cy] + 0.0284 m988[C_cy] + 0.102 m996[C_cy] --> 0.2646 m1010[C_cy] + 59.305 m10[C_cy] + m1401[C_cy] + 59.276 m143[C_cy] + 0.4588 m273[C_cy] + 0.1607 m314[C_cy] + 0.1017 m320[C_cy] + 0.2975 m335[C_cy] + 58.7 m35[C_cy] + 0.0066 m447[C_cy] + 0.1054 m553[C_cy] + 0.3018 m555[C_cy] + 0.2904 m590[C_cy] + 0.0663 m618[C_cy] + 0.1927 m746[C_cy] + 0.2964 m777[C_cy] + 0.2862 m794[C_cy] + 0.0507 m806[C_cy] + 0.1339 m861[C_cy] + 0.1647 m905[C_cy] + 0.1854 m943[C_cy] + 0.1914 m978[C_cy] + 0.0284 m987[C_cy] + 0.102 m995[C_cy]
R17,2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,metabolic,bound_zero,lb==ub==0,True,0.0,0.0,C_mi,0,0,,,m26[C_mi] + m55[C_mi] + m56[C_mi] --> 3.0 m28[C_mi] + m57[C_mi] + m58[C_mi]
