metabolite_id,name,formula,is_lipid,n_reactions_solved,source_reactions
m1974[C_cy],(S)-3-Hydroxyisobutyrate,C4H7O3,no,1,R2114
m1975[C_cy],(S)-Methylmalonate semialdehyde,C4H4O3,no,1,R2074
m1808[C_cy],2'-deoxyinosine-5-phosphate_,C10H8N4O7P,no,1,R1952
m474[C_cy],2-deoxy-D-ribofuranose 1-phosphate_,C5H11O7P,no,1,R264
m1927[C_cy],2_Octaprenyl_6_hydroxyphenol__5_repeating_units,C36H55O2,no,1,R2248
m1923[C_nu],2_Octaprenyl_6_hydroxyphenol__5_repeating_units,C36H55O2,no,1,R2249
m1924[C_nu],2_Octaprenyl_6_methoxyphenol__5_repeating_units,C37H57O2,no,1,R2242
m1928[C_cy],2_Octaprenylphenol__5_repeating_units_,C36H55O,no,1,R2247
m1958[C_cy],"3,4-dihydroxymandelaldehyde",C8H7O4,no,1,R2100
m1956[C_cy],"3,4-dihydroxymandelate",C8H6O5,no,1,R2099
m2030[C_cy],3-Sulfinylpyruvate,C3H4O5S,no,1,R2196
m1957[C_cy],3-methoxy-4-hydroxymandelate,C9H9O5,no,1,R2098
m643[C_cy],4-methyl-5-(2-phosphonooxyethyl)thiazole_,C6H9NO4PS,no,1,R408
m1852[C_cy],5-Keto-D-Gluconic Acid,C6H9O7,no,1,R2000
m1845[C_cy],5-aminopentanoate,C5H10NO2,no,1,R1991
m1816[C_cy],5-hydroxyisourate_,C5H4N4O4,no,1,R1954
m1878[C_va],Ala-Gly,C5H10N2O3,no,1,R2034
m1877[C_cy],Ala-Gly,C5H10N2O3,no,1,R2033
m2035[C_cy],Cys-Gly,C5H10N2O3S,no,1,R2200
m1891[C_cy],"D-Glucono-1,5-lactone",C6H12O6,no,1,R2059
m1810[C_cy],D-glucosamine_,C6H14NO5,no,1,R1946
m2019[C_cy],Dehydrodolichol diphosphate,C30H52O7P2,no,1,R2178
m1989[C_er],Dolichyl beta-D-glucosyl phosphate,C31H56O9P,no,1,R2138
m1961[C_er],GDP-mannose,C16H22N5O16P2,no,1,R2102
m1871[C_va],Gly-Asp,C6H10N2O5,no,1,R2021
m1870[C_cy],Gly-Asp,C6H10N2O5,no,1,R2020
m1866[C_va],Gly-Pro,C7H12N2O3,no,1,R2039
m1865[C_cy],Gly-Pro,C7H12N2O3,no,1,R2038
m1862[C_va],Gly_Glu,C7H12N2O5,no,1,R2029
m1861[C_cy],Gly_Glu,C7H12N2O5,no,1,R2028
m2044[C_cy],Indolepyruvate,C11H8NO3,no,1,R2072
m543[C_cy],L-gamma-glutamyl-L-alanine_,C8H14N2O5,no,1,R317
m2031[C_cy],Mercaptopyruvate,C3H4O3S,no,1,R2199
m1969[C_er],"N,N-diacetylrhitobiosyldiphosphodolichol",C41H79N2O17P2,no,1,R2105
m1968[C_er],N-acetyl-D-glucosaminyldiphosphodolichol,C33H62NO12P2,no,1,R2106
m1817[C_cy],OHCU_,C5H6N4O5,no,1,R1955
m339[C_cy],"P1-(5'-adenosyl),P4-(5'-guanosyl) tetraphosphate",C20H29N10O20P4,no,1,R168
m2026[C_cy],Phenylacetic acid,C8H6O2,no,1,R2191
m971[C_ex],TDP_,C12H20N4O7P2S,no,1,R750
m975[C_cy],TDP_,C12H18N4O7P2S,no,1,R752
m1116[C_mi],TDP_,C12H18N4O7P2S,no,1,R933
m976[C_cy],TTP_,C12H19N4O10P3S,no,1,R753
m1889[C_go],UDP-D-galactose,C15H24N2O17P2,no,1,R2057
m1723[C_cy],UDP-D-glucuronate,C15H17N2O18P2,no,1,R1910
m1964[C_cy],UDP-N-acetyl-D-glucosamine,C17H28N3O17P2,no,1,R2108
m1965[C_er],UDP-N-acetyl-D-glucosamine,C17H28N3O17P2,no,1,R2107
m1988[C_er],UDP-glucose,C15H22N2O17P2,no,1,R2139
m1930[C_cy],all_trans_Octaprenyl_diphosphate__5_repeating_units,C30H52O7P2,no,1,R2250
m1813[C_cy],cellobiose_,C12H22O11,no,1,R1930
m1789[C_cy],decanol_,C10H22O,no,1,R1863
m1814[C_cy],dehydroalanine_,C3H5NO2,no,1,R1942
m1805[C_ex],dibutyrin_,C11H18O5,no,1,R1896
m1827[C_cy],erythrose_,C4H8O4,no,1,R1961
m1900[C_cy],gamma_Amino_gamma_cyanobutanoate,C5H8N2O2,no,1,R2213
m1815[C_cy],hydroxypyruvate_,C3H4O4,no,1,R1939
m2057[C_cy],m2057[C_cy],C26H45N7O17P3S,no,1,R2281
m2058[C_cy],m2058[C_cy],C26H45N7O17P3S,no,1,R2282
m2059[C_cy],m2059[C_cy],C26H47N7O18P3S,no,1,R2283
m2060[C_cy],m2060[C_cy],C26H45N7O18P3S,no,1,R2284
m1806[C_ex],monobutyrate_,C7H13O4,no,1,R1897
m496[C_cy],"myo-inositol 1,3,4,5,6-pentakisphosphate",C6H11O21P5,no,1,R284
m656[C_nu],"myo-inositol 1,3,4,5,6-pentakisphosphate",C6H16O21P5,no,1,R422
m1720[C_cy],nicotinate D-ribonucleoside,C11H14NO6,no,1,R1903
m1934[C_cy],omega-hydroxy-decanoate,C10H20O3,no,1,R2254
m1404[C_cy],quinaldic acid_,C10H7NO3,no,1,R1375
m2020[C_cy],"trans,trans-Farnesyl diphosphate",C15H28O7P2,no,1,R2179
m1555[C_pe],(R)-3-hydroxy-cis-dodec-5-enoyl-CoA_,C33H54N7O18P3S,yes,1,R1513
m1557[C_pe],(R)-3-hydroxy-cis-hexadec-7-enoyl-CoA_,C37H63N7O18P3S,yes,1,R1515
m1553[C_pe],(R)-3-hydroxy-cis-hexadec-9-enoyl-CoA_,C37H64N7O18P3S,yes,1,R1511
m1556[C_pe],(R)-3-hydroxy-cis-octadec-9-enoyl-CoA_,C39H68N7O18P3S,yes,1,R1514
m1558[C_pe],(R)-3-hydroxy-cis-tetradec-5-enoyl-CoA_,C35H61N7O18P3S,yes,1,R1533
m1554[C_pe],(R)-3-hydroxy-cis-tetradec-7-enoyl-CoA_,C35H59N7O18P3S,yes,1,R1512
m1551[C_pe],(R)-3-hydroxydocosanoyl-CoA_,C43H78N7O18P3S,yes,1,R1509
m1546[C_pe],(R)-3-hydroxyhexacosanoyl-CoA_,C47H86N7O18P3S,yes,1,R1504
m1550[C_pe],(R)-3-hydroxyicosanoyl-CoA_,C41H75N7O18P3S,yes,1,R1525
m1545[C_pe],(R)-3-hydroxyoctadecanoyl-CoA,C39H70N7O18P3S,yes,1,R1503
m1544[C_pe],(R)-3-hydroxypalmitoyl-CoA_,C37H66N7O18P3S,yes,1,R1502
m1552[C_pe],(R)-3-hydroxytetracosanoyl-CoA_,C45H82N7O18P3S,yes,1,R1510
m115[C_pe],(R)-3-hydroxytetradecanoyl-CoA,C35H63N7O18P3S,yes,1,R42
m2011[C_er],"1,2-Diacyl-sn-glycerol",C55H101O5,yes,1,R2168
m1994[C_cy],"1,2-Diacyl-sn-glycerol",C55H101O5,yes,1,R2169
m1685[C_vm],"1,2-diacylglycerol 3-diphosphate_",C39H75O11P2,yes,1,R1758
m1687[C_gm],"1,2-diacylglycerol 3-diphosphate_",C39H75O11P2,yes,1,R1759
m575[C_em],1-acyl-sn-glycerol 3-phosphate,C21H41O7P,yes,1,R352
m577[C_lp],1-acyl-sn-glycerol 3-phosphate,C21H41O7P,yes,1,R353
m1657[C_em],1-acylglycerophosphocholine_C9H20NO7PR,C26H54NO7P,yes,1,R1731
m1660[C_en],1-acylglycerophosphocholine_C9H20NO7PR,C26H54NO7P,yes,1,R1733
m1702[C_lp],1-acylglycerophosphocholine_C9H20NO7PR,C26H54NO7P,yes,1,R1788
m789[C_mm],1-acylglycerophosphocholine_C9H20NO7PR,C26H52NO7P,yes,1,R530
m1663[C_en],1-acylglycerophosphoethanolamine_,C23H47NO7P,yes,1,R1735
m1656[C_em],1-acylglycerophosphoethanolamine_,C23H48NO7P,yes,1,R1728
m1699[C_lp],1-acylglycerophosphoethanolamine_,C23H46NO7P,yes,1,R1766
m1668[C_en],1-acylglycerophosphoinositol_,C27H51O12P,yes,1,R1739
m1666[C_en],1-acylglycerophosphoserine_,C5H14NO6P,yes,1,R1736
m1695[C_lp],1-monoglyceride_,C21H41O4,yes,1,R1765
m1644[C_en],1-phosphatidyl-1D-myo-inositol,C45H84O13P,yes,1,R1738
m1648[C_em],1-phosphatidyl-1D-myo-inositol,C45H84O13P,yes,1,R1805
m1706[C_nu],1-phosphatidyl-1D-myo-inositol,C45H84O13P,yes,1,R1812
m1679[C_gm],1-phosphatidyl-1D-myo-inositol,C45H84O13P,yes,1,R1815
m1393[C_cy],1-phosphatidyl-1D-myo-inositol,C45H84O13P,yes,1,R1749
m897[C_vm],1-phosphatidyl-1D-myo-inositol,C45H86O13P,yes,1,R665
m22[C_en],"1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate",C45H86O19P3,yes,1,R1752
m17[C_vm],"1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate",C45H86O19P3,yes,1,R1814
m1683[C_cy],"1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate",C45H86O19P3,yes,1,R1783
m20[C_en],1-phosphatidyl-1D-myo-inositol 3-phosphate,C45H85O16P2,yes,1,R1744
m1677[C_em],1-phosphatidyl-1D-myo-inositol 3-phosphate,C45H85O16P2,yes,1,R1746
m1678[C_gm],1-phosphatidyl-1D-myo-inositol 3-phosphate,C45H85O16P2,yes,1,R1747
m15[C_vm],1-phosphatidyl-1D-myo-inositol 3-phosphate,C45H86O16P2,yes,1,R7
m1676[C_cy],1-phosphatidyl-1D-myo-inositol 3-phosphate,C45H85O16P2,yes,1,R1745
m1646[C_en],"1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate",C45H86O19P3,yes,1,R1754
