gene_id,ec_number,mnxr_id,bigg_reaction,kegg_reaction,metacyc_reaction,in_model,missing_metabolites,missing_count_fixed,missing_fixed_str,equation
YALI1D01431g,2.6.1.42,MNXR105000,TYRTAip,R00734,TYROSINE-AMINOTRANSFERASE-RXN,yes,,0,,1 MNXM1368744@MNXD1 + 1 MNXM76@MNXD1 = 1 MNXM153@MNXD1 + 1 MNXM741173@MNXD1
YALI1D01431g,2.6.1.42,MNXR192556,R_ASPTAp,R00355,RXN-13697,no,,0,,1 MNXM1364497@MNXD1 + 1 MNXM1368744@MNXD1 = 1 MNXM46@MNXD1 + 1 MNXM741173@MNXD1
YALI1D01431g,2.6.1.42,MNXR96230,VALTAim,R01214,BRANCHED-CHAINAMINOTRANSFERVAL-RXN,yes,,0,,1 MNXM1368744@MNXD1 + 1 MNXM199@MNXD1 = 1 MNXM732866@MNXD1 + 1 MNXM741173@MNXD1
YALI1D01431g,2.6.1.42,MNXR131407,,,,no,MNXM276,0,,1 MNXM1363845@MNXD1 + 1 MNXM738804@MNXD1 = 1 MNXM276@MNXD1 + 1 MNXM728337@MNXD1
YALI1D01431g,2.6.1.42,MNXR107369,,R02200,2.6.1.32-RXN,no,,0,,1 MNXM1363845@MNXD1 + 1 MNXM199@MNXD1 = 1 MNXM728337@MNXD1 + 1 MNXM732866@MNXD1
YALI1D01431g,2.6.1.42,MNXR103594,R_RE2034C,R10991,RXN-20408,no,MNXM17054,0,,1 MNXM1368744@MNXD1 + 1 MNXM17054@MNXD1 = 1 MNXM159@MNXD1 + 1 MNXM741173@MNXD1
YALI1D01431g,2.6.1.42,MNXR146599,TRPTA,R00684,TRYPTOPHAN-AMINOTRANSFERASE-RXN,yes,,0,,1 MNXM1368744@MNXD1 + 1 MNXM741553@MNXD1 = 1 MNXM315@MNXD1 + 1 MNXM741173@MNXD1
YALI1D01431g,2.6.1.42,MNXR131405,,,,no,MNXM276,0,,1 MNXM1106761@MNXD1 + 1 MNXM276@MNXD1 = 1 MNXM404@MNXD1 + 1 MNXM738804@MNXD1
YALI1D01431g,2.6.1.42,MNXR132981,,,,no,,0,,1 MNXM1106761@MNXD1 + 1 MNXM732866@MNXD1 = 1 MNXM199@MNXD1 + 1 MNXM404@MNXD1
YALI1D01431g,2.6.1.42,MNXR126234,R_POATh,R00694,RXN-10814,yes,,0,,1 MNXM1368744@MNXD1 + 1 MNXM741664@MNXD1 = 1 MNXM730221@MNXD1 + 1 MNXM741173@MNXD1
YALI1D01431g,2.6.1.42,MNXR192685,R_LEUTAm,R01090,BRANCHED-CHAINAMINOTRANSFERLEU-RXN,yes,,0,,1 MNXM1106761@MNXD1 + 1 MNXM1368744@MNXD1 = 1 MNXM404@MNXD1 + 1 MNXM741173@MNXD1
YALI1D01431g,2.6.1.42,MNXR131406,,,,no,MNXM276,0,,1 MNXM199@MNXD1 + 1 MNXM276@MNXD1 = 1 MNXM732866@MNXD1 + 1 MNXM738804@MNXD1
YALI1D01431g,2.6.1.42,MNXR198611,R_ILETAm,,,no,MNXM1363844,0,,1 MNXM1363844@MNXD1 + 1 MNXM741173@MNXD1 = 1 MNXM1368744@MNXD1 + 1 MNXM728337@MNXD1
YALI1D01431g,2.6.1.42,MNXR180445,,,,no,MNXM13|MNXM730929|MNXM8,1,MNXM8,1 MNXM10@MNXD1 + 1 MNXM1106761@MNXD1 + 1 MNXM1368744@MNXD1 + 1 MNXM13@MNXD1 = 1 MNXM730929@MNXD1 + 1 MNXM741173@MNXD1 + 1 MNXM8@MNXD1
YALI1D01431g,2.6.1.42,MNXR198610,,R02199,BRANCHED-CHAINAMINOTRANSFERILEU-RXN,yes,,0,,1 MNXM1363845@MNXD1 + 1 MNXM741173@MNXD1 = 1 MNXM1368744@MNXD1 + 1 MNXM728337@MNXD1
YALI1A05459g,2.6.1.85,MNXR112446,,R08956,RXN-9028,no,MNXM2042,1,MNXM2042,1 MNXM2042@MNXD1 + 1 MNXM741173@MNXD1 = 1 MNXM337@MNXD1 + 1 MNXM37@MNXD1
YALI1A05459g,2.6.1.85,MNXR95440,R_ADCS,R01716,PABASYN-RXN,yes,,0,,1 MNXM1458@MNXD1 + 1 MNXM741173@MNXD1 = 1 MNXM337@MNXD1 + 1 MNXM37@MNXD1
YALI1A05459g,2.6.1.85,MNXR194861,,R12937,RXN-22711,no,MNXM2042|MNXM729302|WATER,2,MNXM2042|MNXM729302,1 MNXM2042@MNXD1 + 1 WATER@MNXD1 = 1 MNXM337@MNXD1 + 1 MNXM729302@MNXD1
YALI1A05459g,2.6.1.85,MNXR100030,R_GLUNpp,R00256,RXN-22710,yes,,0,,1 MNXM37@MNXD1 + 1 WATER@MNXD1 = 1 MNXM729302@MNXD1 + 1 MNXM741173@MNXD1
YALI1A05459g,2.6.1.85,MNXR102311,R_PABB,R05552,RXN-22713,no,MNXM729302|WATER,1,MNXM729302,1 MNXM1458@MNXD1 + 1 WATER@MNXD1 = 1 MNXM337@MNXD1 + 1 MNXM729302@MNXD1
YALI1A05459g,2.6.1.85,MNXR187421,,,,no,,0,,1 MNXM337@MNXD1 + 1 MNXM37@MNXD1 = 1 MNXM741173@MNXD1
YALI1E15659g,2.1.1.14,MNXR112794,,R09365,RXN-12730,no,MNXM1103841|MNXM1676|MNXM733066|MNXM733156,2,MNXM1676|MNXM733066,1 MNXM1103841@MNXD1 + 1 MNXM1676@MNXD1 = 1 MNXM733066@MNXD1 + 1 MNXM733156@MNXD1
YALI1E15659g,2.1.1.14,MNXR145603,R_MS_1,R04405,HOMOCYSMET-RXN,no,MNXM1103841|MNXM733156,0,,1 MNXM1103841@MNXD1 + 1 MNXM738804@MNXD1 = 1 MNXM123@MNXD1 + 1 MNXM733156@MNXD1
