reaction_id,reaction_name,GPR,gene_list,note
R1715,triacylglycerol lipase,YALI1D21511g or YALI1F13550g,YALI1D21511g;YALI1F13550g,
R1719,"lysoPI acyltransferase, ER membrane",YALI1F04157g,YALI1F04157g,
R1723,CL phospholipase,YALI1D22083g,YALI1D22083g,
R1727,"lysoPC acyltransferase, mitochondrial membrane",(none),(none),duplicate_of_R530;LPCAT;EC_2.3.1.23;no_GPR;suggested_gene_YALI1F25951g
R1730,PC phospholipase B,YALI1B14733g,YALI1B14733g,
R1731,LPC phospholipase B,YALI1B14733g,YALI1B14733g,
R1732,PC phospholipase B,YALI1E19263g or YALI1D10495g or YALI1B02733g or YALI1E26513g,YALI1D10495g;YALI1E19263g;YALI1E26513g;YALI1B02733g,
R1733,LPC phospholipase B,YALI1E19263g or YALI1D10495g or YALI1B02733g or YALI1E26513g,YALI1D10495g;YALI1E19263g;YALI1E26513g;YALI1B02733g,
R1734,PE phospholipase B,YALI1E19263g or YALI1D10495g or YALI1B02733g or YALI1E26513g,YALI1D10495g;YALI1E19263g;YALI1E26513g;YALI1B02733g,
R1735,LPE phospholipase B,YALI1E19263g or YALI1D10495g or YALI1B02733g or YALI1E26513g,YALI1D10495g;YALI1E19263g;YALI1E26513g;YALI1B02733g,
R1736,PS phospholipase B,YALI1E19263g or YALI1D10495g or YALI1B02733g or YALI1E26513g,YALI1D10495g;YALI1E19263g;YALI1E26513g;YALI1B02733g,
R1737,LPS phospholipase B,YALI1E19263g or YALI1D10495g or YALI1B02733g or YALI1E26513g,YALI1D10495g;YALI1E19263g;YALI1E26513g;YALI1B02733g,
R1738,PI phospholipase B,YALI1E19263g or YALI1D10495g or YALI1B02733g or YALI1E26513g,YALI1D10495g;YALI1E19263g;YALI1E26513g;YALI1B02733g,
R1739,LPI phospholipase B,YALI1E19263g or YALI1D10495g or YALI1B02733g or YALI1E26513g,YALI1D10495g;YALI1E19263g;YALI1E26513g;YALI1B02733g,
R1763,"DAG lipase, lipid particle",YALI1D20257g,YALI1D20257g,
R1764,"DAG lipase, mitochondrion",YALI1E37118g,YALI1E37118g,
R1765,MAG lipase,YALI1C20224g,YALI1C20224g,
R1766,"lysoPE acyltransferase, lipid particle",YALI1D20257g,YALI1D20257g,
R1767,"PC phospholipase A2, lipid particle",YALI1F13550g,YALI1F13550g,
R1768,"PE phospholipase A2, lipid particle",YALI1F13550g,YALI1F13550g,
R1771,diacylglycerol acyltransferase,YALI1E38810g,YALI1E38810g,
R1772,diacylglycerol acyltransferase,YALI1E38810g,YALI1E38810g,
R1843,1-acyl-sn-gylcerol-3-phosphate acyltransferase,YALI1E22736g or YALI1F25951g,YALI1E22736g;YALI1F25951g,
R1846,1-acyl-sn-gylcerol-3-phosphate acyltransferase,YALI1E22736g or YALI1F13550g or YALI1D21511g,YALI1F13550g;YALI1E22736g;YALI1D21511g,
R350,glycerol-3-phosphate/dihydroxyacetone phosphate acyltransferase,YALI1C00230g,YALI1C00230g,
R351,glycerol-3-phosphate/dihydroxyacetone phosphate acyltransferase,YALI1C00230g,YALI1C00230g,
R352,glycerol-3-phosphate/dihydroxyacetone phosphate acyltransferase,YALI1C00230g,YALI1C00230g,
R353,glycerol-3-phosphate/dihydroxyacetone phosphate acyltransferase,YALI1C00230g,YALI1C00230g,
R530,lysophosphatidylcholine acyltransferase,(none),(none),duplicate_of_R1727;LPCAT;EC_2.3.1.23;no_GPR;suggested_gene_YALI1F25951g
xLIPID,Lipids pool,(none),(none),
xPOOL_AC_EM,Acyl-CoAs pool,(none),(none),
xPOOL_AC_LP,Acyl-CoAs pool,(none),(none),
xPOOL_AC_MM,Acyl-CoAs pool,(none),(none),
xPOOL_FA_EM,Fatty acids pool,(none),(none),
xPOOL_FA_EN,Fatty acids pool,(none),(none),
xPOOL_FA_LP,Fatty acids pool,(none),(none),
xPOOL_FA_MI,Fatty acids pool,(none),(none),
xPOOL_FA_MM,Fatty acids pool,(none),(none),
