layer,n_chains,combination,member_chains,prob,cumulative_coverage,verdict
mono,1,oleoyl,oleoyl-CoA,0.496588,0.4966,keep
mono,1,linoleoyl,linoleoyl-CoA,0.191885,0.6885,keep
mono,1,palmitoyl,palmitoyl-CoA,0.183207,0.8717,keep
mono,1,palmitoleoyl,palmitoleoyl-CoA,0.083,0.9547,keep
mono,1,stearoyl,stearoyl-CoA,0.0404984,0.9952,keep
mono,1,lauroyl,lauroyl-CoA,0.00289274,0.9981,keep
mono,1,myristoyl,myristoyl-CoA,0.0019285,1.0000,keep
di,2,oleoyl+oleoyl,oleoyl-CoA;oleoyl-CoA,0.246599,0.2466,keep
di,2,linoleoyl+oleoyl,linoleoyl-CoA;oleoyl-CoA,0.190576,0.4372,keep
di,2,oleoyl+palmitoyl,oleoyl-CoA;palmitoyl-CoA,0.181957,0.6191,keep
di,2,oleoyl+palmitoleoyl,oleoyl-CoA;palmitoleoyl-CoA,0.0824336,0.7016,keep
di,2,linoleoyl+palmitoyl,linoleoyl-CoA;palmitoyl-CoA,0.0703095,0.7719,keep
di,2,oleoyl+stearoyl,oleoyl-CoA;stearoyl-CoA,0.040222,0.8121,keep
di,2,linoleoyl+linoleoyl,linoleoyl-CoA;linoleoyl-CoA,0.03682,0.8489,keep
di,2,palmitoyl+palmitoyl,palmitoyl-CoA;palmitoyl-CoA,0.0335649,0.8825,keep
di,2,linoleoyl+palmitoleoyl,linoleoyl-CoA;palmitoleoyl-CoA,0.031853,0.9143,keep
di,2,palmitoleoyl+palmitoyl,palmitoleoyl-CoA;palmitoyl-CoA,0.0304124,0.9447,keep
di,2,linoleoyl+stearoyl,linoleoyl-CoA;stearoyl-CoA,0.0155421,0.9603,keep
di,2,palmitoyl+stearoyl,palmitoyl-CoA;stearoyl-CoA,0.0148392,0.9751,keep
di,2,palmitoleoyl+palmitoleoyl,palmitoleoyl-CoA;palmitoleoyl-CoA,0.006889,0.9820,keep
di,2,palmitoleoyl+stearoyl,palmitoleoyl-CoA;stearoyl-CoA,0.00672274,0.9887,keep
di,2,lauroyl+oleoyl,lauroyl-CoA;oleoyl-CoA,0.002873,0.9916,keep
di,2,myristoyl+oleoyl,myristoyl-CoA;oleoyl-CoA,0.00191534,0.9935,keep
di,2,stearoyl+stearoyl,stearoyl-CoA;stearoyl-CoA,0.00164012,0.9952,keep
di,2,lauroyl+linoleoyl,lauroyl-CoA;linoleoyl-CoA,0.00111015,0.9963,keep
di,2,lauroyl+palmitoyl,lauroyl-CoA;palmitoyl-CoA,0.00105994,0.9973,keep
di,2,linoleoyl+myristoyl,linoleoyl-CoA;myristoyl-CoA,0.000740101,0.9981,dead
di,2,myristoyl+palmitoyl,myristoyl-CoA;palmitoyl-CoA,0.000706629,0.9988,dead
di,2,lauroyl+palmitoleoyl,lauroyl-CoA;palmitoleoyl-CoA,0.000480196,0.9993,dead
di,2,myristoyl+palmitoleoyl,myristoyl-CoA;palmitoleoyl-CoA,0.00032013,0.9996,dead
di,2,lauroyl+stearoyl,lauroyl-CoA;stearoyl-CoA,0.000234303,0.9998,dead
di,2,myristoyl+stearoyl,myristoyl-CoA;stearoyl-CoA,0.000156202,1.0000,dead
di,2,lauroyl+myristoyl,lauroyl-CoA;myristoyl-CoA,1.11573e-05,1.0000,dead
di,2,lauroyl+lauroyl,lauroyl-CoA;lauroyl-CoA,8.36797e-06,1.0000,dead
di,2,myristoyl+myristoyl,myristoyl-CoA;myristoyl-CoA,3.7191e-06,1.0000,dead
tri,3,linoleoyl+oleoyl+oleoyl,linoleoyl-CoA;oleoyl-CoA;oleoyl-CoA,0.141956,0.1420,keep
tri,3,oleoyl+oleoyl+palmitoyl,oleoyl-CoA;oleoyl-CoA;palmitoyl-CoA,0.135536,0.2775,keep
tri,3,oleoyl+oleoyl+oleoyl,oleoyl-CoA;oleoyl-CoA;oleoyl-CoA,0.122458,0.4000,keep
tri,3,linoleoyl+oleoyl+palmitoyl,linoleoyl-CoA;oleoyl-CoA;palmitoyl-CoA,0.104745,0.5047,keep
tri,3,oleoyl+oleoyl+palmitoleoyl,oleoyl-CoA;oleoyl-CoA;palmitoleoyl-CoA,0.0614033,0.5661,keep
tri,3,linoleoyl+linoleoyl+oleoyl,linoleoyl-CoA;linoleoyl-CoA;oleoyl-CoA,0.0548531,0.6210,keep
tri,3,oleoyl+palmitoyl+palmitoyl,oleoyl-CoA;palmitoyl-CoA;palmitoyl-CoA,0.0500037,0.6710,keep
tri,3,linoleoyl+oleoyl+palmitoleoyl,linoleoyl-CoA;oleoyl-CoA;palmitoleoyl-CoA,0.0474534,0.7184,keep
tri,3,oleoyl+palmitoleoyl+palmitoyl,oleoyl-CoA;palmitoleoyl-CoA;palmitoyl-CoA,0.0453073,0.7637,keep
tri,3,oleoyl+oleoyl+stearoyl,oleoyl-CoA;oleoyl-CoA;stearoyl-CoA,0.0299607,0.7937,keep
tri,3,linoleoyl+oleoyl+stearoyl,linoleoyl-CoA;oleoyl-CoA;stearoyl-CoA,0.0231541,0.8168,keep
tri,3,oleoyl+palmitoyl+stearoyl,oleoyl-CoA;palmitoyl-CoA;stearoyl-CoA,0.0221069,0.8389,keep
