name,query,model_charge,n_copies,pubchem_formula,pubchem_charge,source_url,status
(Indol-3-yl)acetamide,(Indol-3-yl)acetamide,0,1,C10H10N2O,0,https://pubchem.ncbi.nlm.nih.gov/#query=%28Indol-3-yl%29acetamide,ok
2-Methylprop-2-enoyl-CoA,2-Methylprop-2-enoyl-CoA,0,1,C25H40N7O17P3S,0,https://pubchem.ncbi.nlm.nih.gov/#query=2-Methylprop-2-enoyl-CoA,ok
"3,4-dihydroxymandelaldehyde","3,4-dihydroxymandelaldehyde",0,1,C8H8O4,0,https://pubchem.ncbi.nlm.nih.gov/#query=3%2C4-dihydroxymandelaldehyde,ok
"3,4-dihydroxymandelate","3,4-dihydroxymandelate",0,1,C8H8O5,0,https://pubchem.ncbi.nlm.nih.gov/#query=3%2C4-dihydroxymandelate,ok
"3,4-dihydroxyphenylethyleneglycol","3,4-dihydroxyphenylethyleneglycol",0,2,C8H10O4,0,https://pubchem.ncbi.nlm.nih.gov/#query=3%2C4-dihydroxyphenylethyleneglycol,ok
3-methoxy-4-hydroxymandelate,3-methoxy-4-hydroxymandelate,0,1,C9H10O5,0,https://pubchem.ncbi.nlm.nih.gov/#query=3-methoxy-4-hydroxymandelate,ok
3-methoxy-4-hydroxyphenylethyleneglycol,3-methoxy-4-hydroxyphenylethyleneglycol,0,1,C9H12O4,0,https://pubchem.ncbi.nlm.nih.gov/#query=3-methoxy-4-hydroxyphenylethyleneglycol,ok
4-Aminobutyraldehyde,4-Aminobutyraldehyde,0,1,C4H9NO,0,https://pubchem.ncbi.nlm.nih.gov/#query=4-Aminobutyraldehyde,ok
5-Keto-D-Gluconic Acid,5-Keto-D-Gluconic Acid,0,2,C6H10O7,0,https://pubchem.ncbi.nlm.nih.gov/#query=5-Keto-D-Gluconic%20Acid,ok
Ala-Gly,Ala-Gly,0,3,C5H10N2O3,0,https://pubchem.ncbi.nlm.nih.gov/#query=Ala-Gly,ok
Cys-Gly,Cys-Gly,0,1,C5H10N2O3S,0,https://pubchem.ncbi.nlm.nih.gov/#query=Cys-Gly,ok
D-Limonene,D-Limonene,0,2,C10H16,0,https://pubchem.ncbi.nlm.nih.gov/#query=D-Limonene,ok
D-galacturonate,D-galacturonate,0,1,C6H10O7,0,https://pubchem.ncbi.nlm.nih.gov/#query=D-galacturonate,ok
Gly-Asp,Gly-Asp,0,3,C6H10N2O5,0,https://pubchem.ncbi.nlm.nih.gov/#query=Gly-Asp,ok
Gly-Pro,Gly-Pro,0,3,C7H12N2O3,0,https://pubchem.ncbi.nlm.nih.gov/#query=Gly-Pro,ok
Gly_Glu,Gly-Glu,0,3,C7H12N2O5,0,https://pubchem.ncbi.nlm.nih.gov/#query=Gly-Glu,ok
Hydrogen peroxide,Hydrogen peroxide,0,1,H2O2,0,https://pubchem.ncbi.nlm.nih.gov/#query=Hydrogen%20peroxide,ok
Indole_3_acetonitrile,Indole-3-acetonitrile,0,2,C10H8N2,0,https://pubchem.ncbi.nlm.nih.gov/#query=Indole-3-acetonitrile,ok
Indolepyruvate,Indolepyruvate,0,1,C11H9NO3,0,https://pubchem.ncbi.nlm.nih.gov/#query=Indolepyruvate,ok
Mercaptopyruvate,Mercaptopyruvate,0,1,C3H4O3S,0,https://pubchem.ncbi.nlm.nih.gov/#query=Mercaptopyruvate,ok
Phenethylamine,Phenethylamine,0,1,C8H11N,0,https://pubchem.ncbi.nlm.nih.gov/#query=Phenethylamine,ok
UDP-glucose,UDP-glucose,0,1,C15H24N2O17P2,0,https://pubchem.ncbi.nlm.nih.gov/#query=UDP-glucose,ok
alpha_Aminopropiononitrile,alpha-Aminopropiononitrile,0,2,C3H6N2,0,https://pubchem.ncbi.nlm.nih.gov/#query=alpha-Aminopropiononitrile,ok
gamma_Amino_gamma_cyanobutanoate,gamma-Amino-gamma-cyanobutanoate,0,2,C5H8N2O2,0,https://pubchem.ncbi.nlm.nih.gov/#query=gamma-Amino-gamma-cyanobutanoate,ok
isoamyl acetate,isoamyl acetate,0,2,C7H14O2,0,https://pubchem.ncbi.nlm.nih.gov/#query=isoamyl%20acetate,ok
"myo-inositol 1,3,4,5,6-pentakisphosphate","myo-inositol 1,3,4,5,6-pentakisphosphate",0,2,C6H17O21P5,0,https://pubchem.ncbi.nlm.nih.gov/#query=myo-inositol%201%2C3%2C4%2C5%2C6-pentakisphosphate,ok
octadecadienoate,octadecadienoate,0,1,C18H32O2,0,https://pubchem.ncbi.nlm.nih.gov/#query=octadecadienoate,ok
propionyl-CoA,propionyl-CoA,0,1,C24H40N7O17P3S,0,https://pubchem.ncbi.nlm.nih.gov/#query=propionyl-CoA,ok
"trans,trans-Farnesyl diphosphate","trans,trans-Farnesyl diphosphate",0,1,C15H28O7P2,0,https://pubchem.ncbi.nlm.nih.gov/#query=trans%2Ctrans-Farnesyl%20diphosphate,ok
trans-hexadec-2-enoyl-CoA,trans-hexadec-2-enoyl-CoA,0,1,C37H64N7O17P3S,0,https://pubchem.ncbi.nlm.nih.gov/#query=trans-hexadec-2-enoyl-CoA,ok
triolein,triolein,0,1,C57H104O6,0,https://pubchem.ncbi.nlm.nih.gov/#query=triolein,ok
(S)-Methylmalonate semialdehyde,(S)-Methylmalonate semialdehyde,0,1,C4H5O3-,-1,https://pubchem.ncbi.nlm.nih.gov/#query=%28S%29-Methylmalonate%20semialdehyde,charge_differs
D-glycerate,D-glycerate,0,1,C3H5O4-,-1,https://pubchem.ncbi.nlm.nih.gov/#query=D-glycerate,charge_differs
omega-hydroxy-hexadecanoate,omega-hydroxy-hexadecanoate,0,1,C16H31O3-,-1,https://pubchem.ncbi.nlm.nih.gov/#query=omega-hydroxy-hexadecanoate,charge_differs
Glyceron phosphate,Glyceron phosphate,0,1,,,https://pubchem.ncbi.nlm.nih.gov/#query=Glyceron%20phosphate,not_found
iron_Fe,iron-Fe,0,3,,,https://pubchem.ncbi.nlm.nih.gov/#query=iron-Fe,not_found
nicotinate D-ribonucleoside,nicotinate D-ribonucleoside,0,1,,,https://pubchem.ncbi.nlm.nih.gov/#query=nicotinate%20D-ribonucleoside,not_found
omega-hydroxy-decanoate,omega-hydroxy-decanoate,0,1,,,https://pubchem.ncbi.nlm.nih.gov/#query=omega-hydroxy-decanoate,not_found
omega-hydroxy-dodecanoate,omega-hydroxy-dodecanoate,0,1,,,https://pubchem.ncbi.nlm.nih.gov/#query=omega-hydroxy-dodecanoate,not_found
omega-oxo-decanoate,omega-oxo-decanoate,0,1,,,https://pubchem.ncbi.nlm.nih.gov/#query=omega-oxo-decanoate,not_found
omega-oxo-dodecanoate,omega-oxo-dodecanoate,0,1,,,https://pubchem.ncbi.nlm.nih.gov/#query=omega-oxo-dodecanoate,not_found
omega-oxo-hexadecanoate,omega-oxo-hexadecanoate,0,1,,,https://pubchem.ncbi.nlm.nih.gov/#query=omega-oxo-hexadecanoate,not_found
