reaction_id,reaction_name,reaction_type,has_annotation,has_real_annotation,annotation_keys,has_bigg,has_kegg,has_metanetx,has_rhea,has_ec,has_sbo,has_gpr,n_genes,gene_has_ec,gene_ec_codes,gene_has_uniprot,n_metabolites,met_mnxm_coverage,met_all_have_mnxm,compartments,is_blocked
R1,(R)-lactate:ferricytochrome-c 2-oxidoreductase,transport,True,True,"kegg.reaction,keggr,metanetx.reaction",False,True,True,False,False,False,True,3,True,1.1.2.4,True,4,1.0,True,"C_cy,C_mi",False
R2,(R)-lactate:ferricytochrome-c 2-oxidoreductase,metabolic,True,True,"kegg.reaction,keggr,metanetx.reaction",False,True,True,False,False,False,True,2,True,1.1.2.4,True,4,1.0,True,C_mi,False
R3,(S)-lactate:ferricytochrome-c 2-oxidoreductase,transport,True,True,"kegg.reaction,keggr,metanetx.reaction",False,True,True,False,False,False,True,2,True,1.1.2.4,True,4,1.0,True,"C_cy,C_mi",False
R4,"1,3-beta-glucan synthase",transport,True,True,"bigg.reaction,biggr,metanetx.reaction",True,False,True,False,False,False,True,2,True,2.4.1.34,True,4,1.0,True,"C_cy,C_en",False
R5,(1-6)-beta-glucan synthase,transport,True,True,"bigg.reaction,biggr,metanetx.reaction",True,False,True,False,False,False,True,1,False,,True,4,1.0,True,"C_cy,C_en",True
R6,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase,metabolic,True,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,True,1,True,5.3.1.16,True,2,1.0,True,C_cy,False
R7,1-phosphatidylinositol-3-phosphate 5-kinase,metabolic,False,False,,False,False,False,False,False,False,True,1,False,,False,5,1.0,True,C_vm,False
R8,1-phosphatidylinositol-3-phosphate 5-kinase,metabolic,False,False,,False,False,False,False,False,False,True,1,True,2.7.1.68,True,5,1.0,True,C_en,False
R9,1-pyrroline-5-carboxylate dehydrogenase,metabolic,True,True,"bigg.reaction,biggr,kegg.reaction,keggr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,True,1,True,1.2.1.88,True,6,1.0,True,C_mi,False
R10,"2,3-diketo-5-methylthio-1-phosphopentane degradation reaction",metabolic,True,True,"bigg.reaction,biggr,metanetx.reaction,rh,rhea,seed.reaction,seedr,vmhr,vmhreaction",True,False,True,True,False,False,True,2,True,1.13.11.53|1.13.11.54|3.1.3.77,True,6,1.0,True,C_cy,False
R11,"2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase",metabolic,True,True,"metanetx.reaction,seed.reaction,seedr",False,False,True,False,False,False,True,1,True,5.4.99.28,True,5,0.8,False,C_cy,True
R12,"2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)",metabolic,True,True,"kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,seed.reaction,seedr",False,True,True,True,False,False,True,1,True,1.1.1.302,True,5,0.8,False,C_cy,True
R13,2-aceto-2-hydroxybutanoate synthase,metabolic,True,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,True,2,True,2.2.1.6,True,5,1.0,True,C_mi,False
R14,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,metabolic,True,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,True,1,False,,True,5,1.0,True,C_mi,True
R15,2-aminoadipate transaminase,metabolic,True,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,True,3,True,2.6.1.57,True,4,1.0,True,C_cy,False
R16,2-dehydropantoate 2-reductase,metabolic,True,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr",True,True,True,True,False,False,True,1,True,1.1.1.169,True,5,1.0,True,C_cy,False
R17,2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,metabolic,True,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,True,2,True,2.5.1.54,True,5,1.0,True,C_mi,True
R18,"2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase",metabolic,False,False,,False,False,False,False,False,False,True,7,True,2.1.1.201|1.14.99.60|1.14.15.45|1.14.15.46|2.1.1.-|2.1.1.114|2.1.1.64,True,5,1.0,True,C_mi,True
R19,2-hexaprenyl-6-methoxyphenol monooxygenase,metabolic,False,False,,False,False,False,False,False,False,True,7,True,2.1.1.201|1.14.99.60|1.14.15.45|1.14.15.46|2.1.1.-|2.1.1.114|2.1.1.64,True,4,1.0,True,C_mi,True
R20,2-isopropylmalate hydratase,metabolic,True,True,"bigg.reaction,biggr,metanetx.reaction",True,False,True,False,False,False,True,1,True,4.2.1.33,True,3,1.0,True,C_cy,False
R21,2-isopropylmalate synthase,metabolic,True,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,True,1,True,2.3.3.13,True,6,1.0,True,C_cy,True
R22,2-isopropylmalate synthase,metabolic,True,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,True,1,True,2.3.3.13,True,6,1.0,True,C_mi,False
R23,2-keto-4-methylthiobutyrate transamination,metabolic,True,True,"bigg.reaction,biggr,metanetx.reaction,seed.reaction,seedr,vmhr,vmhreaction",True,False,True,False,False,False,False,0,False,,False,4,1.0,True,C_cy,False
R24,2-methylcitrate dehydratase,metabolic,True,True,"bigg.reaction,biggr,metanetx.reaction,rh,rhea",True,False,True,True,False,False,True,1,True,4.2.1.36,True,3,0.6667,False,C_mi,False
R25,2-methylcitrate synthase,metabolic,True,True,"bigg.reaction,biggr,metanetx.reaction,rh,rhea",True,False,True,True,False,False,True,2,False,,True,6,1.0,True,C_mi,False
R26,2-oxo-4-methyl-3-carboxypentanoate decarboxylation,metabolic,True,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,True,1,True,2.6.1.42,True,4,1.0,True,C_cy,True
R27,2-oxo-4-methyl-3-carboxypentanoate decarboxylation,metabolic,True,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,True,1,True,2.6.1.42,True,4,1.0,True,C_mi,False
R28,"3',5'-bisphosphate nucleotidase",metabolic,True,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,True,1,True,3.1.3.7,True,4,1.0,True,C_cy,False
R29,"3',5'-cyclic-nucleotide phosphodiesterase",metabolic,True,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,True,2,True,3.1.4.-,True,4,1.0,True,C_cy,False
R30,"3',5'-cyclic-nucleotide phosphodiesterase",metabolic,True,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,True,1,True,3.1.4.-,True,4,1.0,True,C_cy,True
R31,"3',5'-cyclic-nucleotide phosphodiesterase",metabolic,True,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,True,1,True,3.1.4.-,True,4,1.0,True,C_cy,True
R32,"3',5'-cyclic-nucleotide phosphodiesterase",metabolic,True,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,True,1,True,3.1.4.-,True,4,1.0,True,C_cy,False
R33,"3',5'-cyclic-nucleotide phosphodiesterase",metabolic,True,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,True,1,True,3.1.4.-,True,4,1.0,True,C_cy,True
R34,"3,4-dihydroxy-2-butanone-4-phosphate synthase",metabolic,True,True,"bigg.reaction,biggr,kegg.reaction,keggr,metanetx.reaction,sabiork.reaction,sabiorkr,vmhr,vmhreaction",True,True,True,False,False,False,True,1,True,4.1.99.12,True,4,1.0,True,C_cy,True
R35,3-dehydroquinate dehydratase,metabolic,True,True,"metanetx.reaction,seed.reaction,seedr",False,False,True,False,False,False,True,1,True,1.1.1.25|2.5.1.19|2.7.1.71|4.2.1.10|4.2.3.4,True,3,1.0,True,C_cy,False
R36,3-dehydroquinate synthase,metabolic,True,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,True,1,True,1.1.1.25|2.5.1.19|2.7.1.71|4.2.1.10|4.2.3.4,True,3,1.0,True,C_cy,False
R37,3-dehydrosphinganine reductase,metabolic,True,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,True,1,True,1.1.1.102,True,5,1.0,True,C_er,True
R38,3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,metabolic,True,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,True,3,True,2.5.1.54,True,5,1.0,True,C_cy,False
R39,"3-hexaprenyl-4,5-dihydroxybenzoate hydroxylase",metabolic,False,False,,False,False,False,False,False,False,False,0,False,,False,3,1.0,True,C_cy,True
R40,3-hexaprenyl-4-hydroxy-5-methoxybenzoate decarboxylase,metabolic,False,False,,False,False,False,False,False,False,False,0,False,,False,4,1.0,True,C_mi,True
