reaction_id,reaction_name,type,n_metabolites,compartments,gene_reaction_rule,metabolite_mnxm_ids,metabolite_bigg_ids
R39,"3-hexaprenyl-4,5-dihydroxybenzoate hydroxylase",no_GPR,4,C_cy,,"MNXM120141,MNXM735438,MNXM2783,MNXM1","—,o2,3dh5hpb,h"
R60,"5,10-methylenetetrahydrofolate reductase (NADPH)",has_GPR,4,C_cy,YALI1B19021g or YALI1B00578g,"MNXM738702,MNXM90098,MNXM5,MNXM733947","nadph,—,nadp,—"
R99,acyl-CoA oxidase (hexacosanoyl-CoA),has_GPR,4,C_pe,YALI1D32754g,"MNXM735438,MNXM1093160,MNXM732620,MNXM726927","o2,hexcoa,h2o2,—"
R104,"acyl-CoA:sterol acyltransferase (oleoyl-CoA:ergosterol), ER membrane",has_GPR,4,C_em,YALI1F09747g,"MNXM1511591,MNXM741449,MNXM1094981,MNXM52466","—,ergst,—,—"
R105,"acyl-CoA:sterol acyltransferase (oleoyl-CoA:fecosterol), ER membrane",has_GPR,4,C_em,YALI1F09747g,"MNXM1511591,MNXM731707,MNXM1094981,MNXM53170","—,fecost,—,—"
R109,"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:ergosterol), ER membrane",has_GPR,4,C_em,YALI1F09747g,"MNXM741449,MNXM1108357,MNXM1094981,MNXM52467","ergst,—,—,—"
R110,"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:fecosterol), ER membrane",has_GPR,4,C_em,YALI1F09747g,"MNXM731707,MNXM1108357,MNXM1094981,MNXM53171","fecost,—,—,—"
R131,"alcohol dehydrogenase (glycerol, NADP)",has_GPR,4,C_cy,YALI1C353g or YALI1B20108g or YALI1A21000g or YALI1A15863g or YALI1B09211g or YALI1B28394g or YALI1C12619g or YALI1C18771g or YALI1D05111g or YALI1E22041g or YALI1F10224g or YALI1F24773g or YALI1D09870g,"MNXM738702,MNXM435,MNXM5,MNXM89612","nadph,glyald,nadp,glyc"
R255,D-arabinose 1-dehydrogenase (NADP),has_GPR,4,C_cy,YALI1A21000g or YALI1A15863g or YALI1B09211g or YALI1B28394g or YALI1C12619g or YALI1C18771g or YALI1D05111g or YALI1E22041g or YALI1F10224g,"MNXM5,MNXM48397,MNXM738702,MNXM778","nadp,—,nadph,Dara14lac"
R257,D-sorbitol dehydrogenase (D-fructose producing),has_GPR,4,C_cy,YALI1E15452g,"MNXM64096,MNXM1104589,MNXM10,MNXM1363862","—,—,nadh,—"
R267,dihydroceramidase,has_GPR,3,C_er,YALI1D25664g,"MNXM733692,MNXM100400,MNXM1513336","sphgn,—,—"
R268,dihydroceramidase,has_GPR,3,C_er,YALI1D25664g,"MNXM733692,MNXM100479,MNXM1513336","sphgn,—,—"
R297,fatty-acid--CoA ligase (decanoate),has_GPR,6,C_pe,YALI1E19172g,"MNXM1094981,MNXM3,MNXM1043,MNXM1092836,MNXM728294,MNXM11","—,atp,dca,dcacoa,amp,ppi"
R298,fatty-acid--CoA ligase (dodecanoate),has_GPR,6,C_pe,YALI1E19172g,"MNXM1094981,MNXM3,MNXM100679,MNXM734853,MNXM728294,MNXM11","—,atp,—,—,amp,ppi"
R352,glycerol-3-phosphate/dihydroxyacetone phosphate acyltransferase,has_GPR,4,C_em,YALI1C00230g,"MNXM1136895,MNXM730002,MNXM1094981,MNXM1091645","—,—,—,1ag3p"
R353,glycerol-3-phosphate/dihydroxyacetone phosphate acyltransferase,has_GPR,4,C_lp,YALI1C00230g,"MNXM1136895,MNXM730002,MNXM1094981,MNXM1091645","—,—,—,1ag3p"
R376,"GPI-anchor assembly, step 9",has_GPR,4,C_er,YALI1E04744g or YALI1E14925g,"MNXM1093921,MNXM1179,MNXM38542,MNXM1509522","pe_LM,—,—,—"
R421,inosine monophosphate cyclohydrolase,has_GPR,4,C_cy,YALI1D32209g,"MNXM733647,MNXM1,WATER,MNXM1101868","—,h,h2o,imp"
R427,IPS phospholipase C,has_GPR,4,C_er,YALI1D23128g,"WATER,MNXM158006,MNXM1513336,MNXM1107797","h2o,—,—,6pgg"
R428,IPS phospholipase C,has_GPR,4,C_er,YALI1D23128g,"WATER,MNXM106432,MNXM1513336,MNXM1107797","h2o,—,—,6pgg"
R429,IPS phospholipase C,has_GPR,4,C_er,YALI1D23128g,"WATER,MNXM157996,—,MNXM1107797","h2o,—,—,6pgg"
R430,IPS phospholipase C,has_GPR,4,C_er,YALI1D23128g,"WATER,MNXM157997,—,MNXM1107797","h2o,—,—,6pgg"
R431,IPS phospholipase C,has_GPR,4,C_er,YALI1D23128g,"WATER,MNXM157996,—,MNXM1107797","h2o,—,—,6pgg"
