layer,reaction_id,reaction_name,solved_met,solved_name,representative_formula,combos,mass_check,charge_residual,status,note
1,R1843,1-acyl-sn-gylcerol-3-phosphate acyltransferase,m378[C_em],phosphatidate,C39H73O8P,36,pass,+0,balanced,solved for m378[C_em]
1,R1846,1-acyl-sn-gylcerol-3-phosphate acyltransferase,m1705[C_lp],phosphatidate,C39H73O8P,36,pass,+0,balanced,solved for m1705[C_lp]
1,R2091,Glyceron phosphate transport,m2048[C_cy],Glyceron phosphate,C21H37O7P,6,pass,+2,balanced,solved for m2048[C_cy]
1,R2144,phosphatidate transport,m1993[C_cy],phosphatidate,C39H73O8P,36,pass,+0,balanced,solved for m1993[C_cy]
1,R350,glycerol-3-phosphate/dihydroxyacetone phosphate acyltransferase,m569[C_em],acylglycerone phosphate_,C21H37O7P,6,pass,+2,balanced,solved for m569[C_em]
1,R351,glycerol-3-phosphate/dihydroxyacetone phosphate acyltransferase,m572[C_lp],acylglycerone phosphate_,C21H37O7P,6,pass,+2,balanced,solved for m572[C_lp]
1,R352,glycerol-3-phosphate/dihydroxyacetone phosphate acyltransferase,m575[C_em],1-acyl-sn-glycerol 3-phosphate,C21H41O7P,6,pass,+0,balanced,solved for m575[C_em]
1,R353,glycerol-3-phosphate/dihydroxyacetone phosphate acyltransferase,m577[C_lp],1-acyl-sn-glycerol 3-phosphate,C21H41O7P,6,pass,+0,balanced,solved for m577[C_lp]
2,R1773,diacylglycerol pyrophosphate phosphatase,m1649[C_em],diglyceride,C39H72O5,36,pass,-2,balanced,solved for m1649[C_em]
2,R1791,"phosphatidate transport, ER membrane-mitochondrial membrane",m383[C_mm],phosphatidate,C39H73O8P,36,pass,+0,balanced,solved for m383[C_mm]
2,R1795,"diglyceride transport, ER membrane-Golgi membrane",m1704[C_gm],diglyceride,C39H72O5,36,pass,+0,balanced,solved for m1704[C_gm]
2,R1796,"phosphatidate transport, ER membrane-Golgi membrane",m1688[C_gm],phosphatidate,C39H73O8P,36,pass,+0,balanced,solved for m1688[C_gm]
2,R1800,"phosphatidate transport, ER membrane-vacuolar membrane",m1686[C_vm],phosphatidate,C39H73O8P,36,pass,+0,balanced,solved for m1686[C_vm]
2,R1839,phosphatidylinositol synthase,m1648[C_em],1-phosphatidyl-1D-myo-inositol,C45H83O13P,36,pass,-1,balanced,solved for m1648[C_em]
2,R1841,PS synthase,m1631[C_em],phosphatidyl-L-serine_C8H11NO10PR2,C42H78NO10P,36,pass,-1,balanced,solved for m1631[C_em]
2,R196,CDP-diacylglycerol synthase,m379[C_em],CDP-diacylglycerol_,C48H86N3O15P2,36,pass,+0,balanced,solved for m379[C_em]
3,R1704,"phosphatidyl-L-serine transport, ER membrane-cytoplasm",m1396[C_cy],phosphatidyl-L-serine_C8H11NO10PR2,C42H78NO10P,36,pass,+0,balanced,solved for m1396[C_cy]
3,R1719,"lysoPI acyltransferase, ER membrane",m1647[C_em],sn-2-acyl-1-lysophosphatidylinositol_,C27H51O12P,6,pass,+0,balanced,solved for m1647[C_em]
3,R1725,choline/ethanolaminephosphotransferase,m1633[C_em],phosphatidylethanolamine_C7H12NO8PR2,C41H77NO8P,36,pass,+0,balanced,solved for m1633[C_em]
3,R1726,cholinephosphotransferase,m1632[C_em],phosphatidylcholine_C10H18NO8PR2,C44H83NO8P,36,pass,+0,balanced,solved for m1632[C_em]
3,R1730,PC phospholipase B,m1657[C_em],1-acylglycerophosphocholine_C9H20NO7PR,C26H50NO7P,36,pass,+1,balanced,solved for m1657[C_em]
3,R1769,"PA kinase, Golgi membrane",m1687[C_gm],"1,2-diacylglycerol 3-diphosphate_",C39H74O11P2,36,pass,+1,balanced,solved for m1687[C_gm]
3,R1770,"PA kinase, vacuolar membrane",m1685[C_vm],"1,2-diacylglycerol 3-diphosphate_",C39H74O11P2,36,pass,+1,balanced,solved for m1685[C_vm]
