yali1,yali0,ec,n_mnxr,n_balanced_mnxr,rep_mnxr,mnxr_unique,rep_balanced,priority_pathway,pathways,tier,note
YALI1_B30024g,YALI0B23100g,4.1.2.53,1,1,MNXR107415,yes,yes,no,00051;01100,T1_clear,exactly one balanced MNXR
YALI1_C25171g,YALI0C18029g,1.13.11.59,1,1,MNXR113186,yes,yes,no,01100;01110,T1_clear,exactly one balanced MNXR
YALI1_C30320g,YALI0C22000g,4.2.1.130,1,1,MNXR100354,yes,yes,no,00620;01100,T1_clear,exactly one balanced MNXR
YALI1_E06441g,YALI0E05533g,2.3.1.306,1,1,MNXR106539,yes,yes,no,00310;01100,T1_clear,exactly one balanced MNXR
YALI1_E15835g,YALI0E12859g,6.2.1.8,1,1,MNXR102232,yes,yes,no,00630;01100,T1_clear,exactly one balanced MNXR
YALI1_F01078g,YALI0F00682g,4.2.1.130,1,1,MNXR100354,yes,yes,no,00620;01100,T1_clear,exactly one balanced MNXR
YALI1_F33572g,YALI0F26103g,4.3.2.7,1,1,MNXR169084,yes,yes,no,00480;01100,T1_clear,exactly one balanced MNXR
YALI1_A13596g,YALI0A13563g,3.1.4.12,12,6,MNXR133196,no,yes,yes,00600;01100,T2_priority,priority pathway; EC->12 MNXR (6 balanced)
YALI1_A16618g,YALI0A16610g,3.1.4.12,12,6,MNXR133196,no,yes,yes,00600;01100,T2_priority,priority pathway; EC->12 MNXR (6 balanced)
YALI1_B13041g,YALI0B09669g,2.4.1.80,11,1,MNXR152266,no,yes,yes,00600;01100,T2_priority,priority pathway; EC->11 MNXR (1 balanced)
YALI1_B16158g,YALI0B12298g,3.1.4.12,12,6,MNXR133196,no,yes,yes,00600;01100,T2_priority,priority pathway; EC->12 MNXR (6 balanced)
YALI1_B24564g,YALI0B18854g,3.1.1.23,10,3,MNXR103699,no,yes,yes,00561;01100;01110,T2_priority,priority pathway; EC->10 MNXR (3 balanced)
YALI1_C01356g,YALI0C00979g,3.1.4.12,12,6,MNXR133196,no,yes,yes,00600;01100,T2_priority,priority pathway; EC->12 MNXR (6 balanced)
YALI1_C11521g,YALI0C08393g,3.1.4.12,12,6,MNXR133196,no,yes,yes,00600;01100,T2_priority,priority pathway; EC->12 MNXR (6 balanced)
YALI1_C19794g,YALI0C14014g,2.3.1.51,87,28,MNXR119101,no,yes,yes,00561;00564;01100;01110,T2_priority,priority pathway; EC->87 MNXR (28 balanced)
YALI1_D00173g,YALI0D00176g,2.3.1.176,7,6,MNXR111520,no,yes,yes,01040;01100;01212,T2_priority,priority pathway; EC->7 MNXR (6 balanced)
YALI1_E08861g,YALI0E07447g,3.1.4.12,12,6,MNXR133196,no,yes,yes,00600;01100,T2_priority,priority pathway; EC->12 MNXR (6 balanced)
YALI1_E24762g,YALI0E20845g,3.1.4.12,12,6,MNXR133196,no,yes,yes,00600;01100,T2_priority,priority pathway; EC->12 MNXR (6 balanced)
YALI1_E31498g,YALI0E26565g,2.7.8.1,18,14,MNXR111041,no,yes,yes,00440;00564;00565;01100;01110,T2_priority,priority pathway; EC->18 MNXR (14 balanced)
