sample,strain,phase,MET5_mg_gDW,MET10_mg_gDW,MET5_mmol_gDW,MET10_mmol_gDW,limiting_subunit,alpha2beta2_complex_mmol_gDW,siroheme_coefficient_at_theta_1_mmol_gDW
PARe.1,PAR,exponential,0.050690381,0.125907798,3.22776153e-07,1.11757112e-06,MET5,1.61388077e-07,3.22776153e-07
PARe.2,PAR,exponential,0.056435908,0.128787293,3.59361380e-07,1.14312983e-06,MET5,1.79680690e-07,3.59361380e-07
PARe.3,PAR,exponential,0.065025897,0.153219650,4.14059009e-07,1.35999405e-06,MET5,2.07029505e-07,4.14059009e-07
PARn.1,PAR,nitrogen_limited,0.007820648,0.009676690,4.97987711e-08,8.58913387e-08,MET5,2.48993856e-08,4.97987711e-08
PARn.2,PAR,nitrogen_limited,0.006672449,0.009792085,4.24874972e-08,8.69155971e-08,MET5,2.12437486e-08,4.24874972e-08
PARn.3,PAR,nitrogen_limited,0.009541715,0.010512851,6.07578401e-08,9.33131934e-08,MET5,3.03789200e-08,6.07578401e-08
CARe.1,CAR,exponential,0.062517191,0.132615151,3.98084568e-07,1.17710631e-06,MET5,1.99042284e-07,3.98084568e-07
CARe.2,CAR,exponential,0.068296472,0.148585287,4.34884727e-07,1.31885895e-06,MET5,2.17442364e-07,4.34884727e-07
CARe.3,CAR,exponential,0.072899326,0.149848483,4.64193868e-07,1.33007121e-06,MET5,2.32096934e-07,4.64193868e-07
CARn.1,CAR,nitrogen_limited,0.010552448,0.009286967,6.71937852e-08,8.24321155e-08,MET5,3.35968926e-08,6.71937852e-08
CARn.2,CAR,nitrogen_limited,0.010751810,0.009213502,6.84632430e-08,8.17800323e-08,MET5,3.42316215e-08,6.84632430e-08
CARn.3,CAR,nitrogen_limited,0.022166332,0.034147989,1.41146372e-07,3.03101214e-07,MET5,7.05731860e-08,1.41146372e-07
OBEe.1,OBE,exponential,0.062788723,0.146017585,3.99813576e-07,1.29606775e-06,MET5,1.99906788e-07,3.99813576e-07
OBEe.2,OBE,exponential,0.062358553,0.138026634,3.97074425e-07,1.22513921e-06,MET5,1.98537213e-07,3.97074425e-07
OBEe.3,OBE,exponential,0.056980398,0.133640520,3.62828476e-07,1.18620759e-06,MET5,1.81414238e-07,3.62828476e-07
OBEn.1,OBE,nitrogen_limited,0.006585376,0.010369660,4.19330510e-08,9.20422148e-08,MET5,2.09665255e-08,4.19330510e-08
OBEn.2,OBE,nitrogen_limited,0.012136196,0.011457336,7.72784616e-08,1.01696544e-07,MET5,3.86392308e-08,7.72784616e-08
OBEn.3,OBE,nitrogen_limited,0.011281581,0.013287191,7.18366137e-08,1.17938533e-07,MET5,3.59183069e-08,7.18366137e-08
