contrast	mechanism	cutoff_fraction_of_wt	gene_id	before_ko_growth_ratio	after_ko_growth_ratio	before_call	after_call	transition	changed
baseline_to_q9_current_AND	Q9_chemistry_plus_growth_demand	0.01	YALI1A00309g	0.0	0.0	TP	TP	TP->TP	False
baseline_to_q9_current_AND	Q9_chemistry_plus_growth_demand	0.05	YALI1A00309g	0.0	0.0	TP	TP	TP->TP	False
baseline_to_q9_current_AND	Q9_chemistry_plus_growth_demand	0.1	YALI1A00309g	0.0	0.0	TP	TP	TP->TP	False
baseline_to_q9_current_AND	Q9_chemistry_plus_growth_demand	0.15	YALI1A00309g	0.0	0.0	TP	TP	TP->TP	False
baseline_to_q9_current_AND	Q9_chemistry_plus_growth_demand	0.01	YALI1A00661g	1.0	1.0	FN	FN	FN->FN	False
baseline_to_q9_current_AND	Q9_chemistry_plus_growth_demand	0.05	YALI1A00661g	1.0	1.0	FN	FN	FN->FN	False
baseline_to_q9_current_AND	Q9_chemistry_plus_growth_demand	0.1	YALI1A00661g	1.0	1.0	FN	FN	FN->FN	False
baseline_to_q9_current_AND	Q9_chemistry_plus_growth_demand	0.15	YALI1A00661g	1.0	1.0	FN	FN	FN->FN	False
baseline_to_q9_current_AND	Q9_chemistry_plus_growth_demand	0.01	YALI1A02775g	1.0	1.0	FN	FN	FN->FN	False
baseline_to_q9_current_AND	Q9_chemistry_plus_growth_demand	0.05	YALI1A02775g	1.0	1.0	FN	FN	FN->FN	False
baseline_to_q9_current_AND	Q9_chemistry_plus_growth_demand	0.1	YALI1A02775g	1.0	1.0	FN	FN	FN->FN	False
baseline_to_q9_current_AND	Q9_chemistry_plus_growth_demand	0.15	YALI1A02775g	1.0	1.0	FN	FN	FN->FN	False
baseline_to_q9_current_AND	Q9_chemistry_plus_growth_demand	0.01	YALI1A03069g	1.0	1.0	FN	FN	FN->FN	False
baseline_to_q9_current_AND	Q9_chemistry_plus_growth_demand	0.05	YALI1A03069g	1.0	1.0	FN	FN	FN->FN	False
baseline_to_q9_current_AND	Q9_chemistry_plus_growth_demand	0.1	YALI1A03069g	1.0	1.0	FN	FN	FN->FN	False
baseline_to_q9_current_AND	Q9_chemistry_plus_growth_demand	0.15	YALI1A03069g	1.0	1.0	FN	FN	FN->FN	False
baseline_to_q9_current_AND	Q9_chemistry_plus_growth_demand	0.01	YALI1A03322g	0.328811034322	0.329138734168	FN	FN	FN->FN	False
baseline_to_q9_current_AND	Q9_chemistry_plus_growth_demand	0.05	YALI1A03322g	0.328811034322	0.329138734168	FN	FN	FN->FN	False
baseline_to_q9_current_AND	Q9_chemistry_plus_growth_demand	0.1	YALI1A03322g	0.328811034322	0.329138734168	FN	FN	FN->FN	False
baseline_to_q9_current_AND	Q9_chemistry_plus_growth_demand	0.15	YALI1A03322g	0.328811034322	0.329138734168	FN	FN	FN->FN	False
baseline_to_q9_current_AND	Q9_chemistry_plus_growth_demand	0.01	YALI1A05116g	1.0	1.0	FN	FN	FN->FN	False
baseline_to_q9_current_AND	Q9_chemistry_plus_growth_demand	0.05	YALI1A05116g	1.0	1.0	FN	FN	FN->FN	False
baseline_to_q9_current_AND	Q9_chemistry_plus_growth_demand	0.1	YALI1A05116g	1.0	1.0	FN	FN	FN->FN	False
baseline_to_q9_current_AND	Q9_chemistry_plus_growth_demand	0.15	YALI1A05116g	1.0	1.0	FN	FN	FN->FN	False
baseline_to_q9_current_AND	Q9_chemistry_plus_growth_demand	0.01	YALI1A08781g	1.0	0.0	FN	TP	FN->TP	True
baseline_to_q9_current_AND	Q9_chemistry_plus_growth_demand	0.05	YALI1A08781g	1.0	0.0	FN	TP	FN->TP	True
