scenario	cutoff_fraction_of_wt	TP	FN	recall	wt_growth_h-1
Q0_B_PO1f	0.01	57	265	0.17701863354037267	1.4650760568106032
Q0_B_PO1f	0.05	63	259	0.1956521739130435	1.4650760568106032
Q0_B_PO1f	0.1	67	255	0.2080745341614907	1.4650760568106032
Q0_B_PO1f	0.15	79	243	0.2453416149068323	1.4650760568106032
Q9_current_repeated_AND	0.01	66	256	0.20496894409937888	1.4623664559112712
Q9_current_repeated_AND	0.05	72	250	0.2236024844720497	1.4623664559112712
Q9_current_repeated_AND	0.1	77	245	0.2391304347826087	1.4623664559112712
Q9_current_repeated_AND	0.15	88	234	0.2732919254658385	1.4623664559112712
Q9_step_specific_GPR	0.01	64	258	0.19875776397515527	1.4623664559112712
Q9_step_specific_GPR	0.05	70	252	0.21739130434782608	1.4623664559112712
Q9_step_specific_GPR	0.1	75	247	0.2329192546583851	1.4623664559112712
Q9_step_specific_GPR	0.15	86	236	0.2670807453416149	1.4623664559112712
