scenario	objective_fraction	analysis	reaction_id	minimum	maximum
Q0_B_PO1f_no_demand	0.0	structural	R763	0.0	0.0
Q0_B_PO1f_no_demand	0.0	structural	R407	0.0	0.0
Q0_B_PO1f_no_demand	0.0	structural	R969	0.0	0.0
Q0_B_PO1f_no_demand	0.0	structural	R39	0.0	0.0
Q0_B_PO1f_no_demand	0.0	structural	R808	0.0	0.0
Q0_B_PO1f_no_demand	0.0	structural	R715	0.0	0.0
Q0_B_PO1f_no_demand	0.0	structural	R40	0.0	0.0
Q0_B_PO1f_no_demand	0.0	structural	R19	0.0	0.0
Q0_B_PO1f_no_demand	0.0	structural	R18	0.0	0.0
Q0_B_PO1f_no_demand	0.0	structural	R695	0.0	0.0
Q0_B_PO1f_no_demand	0.0	structural	R385	0.0	0.0
Q0_B_PO1f_no_demand	1.0	at_optimum	R763	0.0	0.0
Q0_B_PO1f_no_demand	1.0	at_optimum	R407	0.0	0.0
Q0_B_PO1f_no_demand	1.0	at_optimum	R969	0.0	0.0
Q0_B_PO1f_no_demand	1.0	at_optimum	R39	0.0	0.0
Q0_B_PO1f_no_demand	1.0	at_optimum	R808	0.0	0.0
Q0_B_PO1f_no_demand	1.0	at_optimum	R715	0.0	0.0
Q0_B_PO1f_no_demand	1.0	at_optimum	R40	0.0	0.0
Q0_B_PO1f_no_demand	1.0	at_optimum	R19	0.0	0.0
Q0_B_PO1f_no_demand	1.0	at_optimum	R18	0.0	0.0
Q0_B_PO1f_no_demand	1.0	at_optimum	R695	0.0	0.0
Q0_B_PO1f_no_demand	1.0	at_optimum	R385	0.0	0.0
