scenario	gene_id	symbol	function	evidence_status	model_role	experimental_essential	ko_growth_ratio	call_1pct	call_5pct	call_10pct	call_15pct
Q0_B_PO1f	YALI1C26017g	COQ1 candidate	CoQ9 side-chain nonaprenyl-diphosphate synthase candidate	experimentally verified in a heterologous catalytic-core assay; native localization unverified	R763	True	1.0	FN	FN	FN	FN
Q0_B_PO1f	YALI1F08349g	COQ2 candidate	4-hydroxybenzoate polyprenyltransferase candidate	uncharacterized in native Yarrowia; homology-supported annotation	R407	True	1.0	FN	FN	FN	FN
Q0_B_PO1f	YALI1B20835g	COQ3 candidate	ubiquinone-biosynthesis O-methyltransferase candidate	uncharacterized in native Yarrowia; comparative step-function evidence	R715 and R385 direct-catalyst candidate		1.0	outside_positive_reference	outside_positive_reference	outside_positive_reference	outside_positive_reference
Q0_B_PO1f	YALI1F34625g	COQ4 candidate	CoQ-ring oxidative decarboxylase/scaffold candidate	curated annotation; native locus function not experimentally verified	R40 direct-catalyst candidate	True	1.0	FN	FN	FN	FN
Q0_B_PO1f	YALI1C25352g	COQ5 candidate	CoQ-ring C-methyltransferase candidate	uncharacterized in native Yarrowia; comparative step-function evidence	R18 direct-catalyst candidate		1.0	outside_positive_reference	outside_positive_reference	outside_positive_reference	outside_positive_reference
Q0_B_PO1f	YALI1A08781g	COQ6 candidate	FAD monooxygenase candidate for two CoQ hydroxylations	uncharacterized in native Yarrowia; comparative step-function evidence	R39 and R19 direct-catalyst candidate	True	1.0	FN	FN	FN	FN
Q0_B_PO1f	YALI1E18269g	COQ7 candidate	demethoxyubiquinone hydroxylase candidate	uncharacterized in native Yarrowia; comparative step-function evidence	R695 direct-catalyst candidate	True	1.0	FN	FN	FN	FN
Q0_B_PO1f	YALI1B20527g	COQ8 candidate	ADCK-family regulatory ATPase/kinase candidate	uncharacterized in native Yarrowia; conserved-family evidence	member of current repeated AND; not a direct atom-transfer candidate	True	1.0	FN	FN	FN	FN
Q0_B_PO1f	YALI1F34675g	COQ9 candidate	CoQ-synthome-associated accessory candidate	uncharacterized in native Yarrowia; conserved-family evidence	member of current repeated AND; possible Coq6/Coq7 accessory	True	1.0	FN	FN	FN	FN
Q9_current_repeated_AND	YALI1C26017g	COQ1 candidate	CoQ9 side-chain nonaprenyl-diphosphate synthase candidate	experimentally verified in a heterologous catalytic-core assay; native localization unverified	R763	True	0.0	TP	TP	TP	TP
Q9_current_repeated_AND	YALI1F08349g	COQ2 candidate	4-hydroxybenzoate polyprenyltransferase candidate	uncharacterized in native Yarrowia; homology-supported annotation	R407	True	0.0	TP	TP	TP	TP
Q9_current_repeated_AND	YALI1B20835g	COQ3 candidate	ubiquinone-biosynthesis O-methyltransferase candidate	uncharacterized in native Yarrowia; comparative step-function evidence	R715 and R385 direct-catalyst candidate		0.0	outside_positive_reference	outside_positive_reference	outside_positive_reference	outside_positive_reference
