yali1_id,ncbigene,ec,all_kegg_pathways,metabolic_pathways,in_true_metabolic_pathway,in_model,is_expansion_candidate,description
YALI1_A21509g,2906583,2.4.1.198,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis;Metabolic pathways,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis;Metabolic pathways,True,False,True,"similar to uniprot|P32363 Saccharomyces cerevisiae YPL175w SPT14 N-acetylglucosaminyltransferase,similar to Saccharomyces cerevisiae SPT14 ("
YALI1_B13041g,2907264,2.4.1.80,Sphingolipid metabolism;Metabolic pathways;Cornified envelope formation,Sphingolipid metabolism;Metabolic pathways,True,False,True,similar to uniprot|Q96V37 Pichia pastoris Ceramide glucosyltransferase
YALI1_B21423g,2907461,2.4.99.18,N-Glycan biosynthesis;Various types of N-glycan biosynthesis;Metabolic pathways;Protein processing in endoplasmic reticulum,N-Glycan biosynthesis;Various types of N-glycan biosynthesis;Metabolic pathways,True,False,True,"similar to Saccharomyces cerevisiae STT3 (YGL022W)%3B ancestral locus Anc_4.98,  similar to uniprot|P39007 Saccharomyces cerevisiae YGL022w "
YALI1_B29895g,2906944,2.7.4.3,Purine metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Nucleotide metabolism;Biosynthesis of cofactors;Ribosome biogenesis in eukaryotes,Purine metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors,True,False,True,"similar to uniprot|Q8TG40 Candida albicans Hemoglobin and proliferation regulated protein,similar to Saccharomyces cerevisiae FAP7 (YDL166C)"
YALI1_C18011g,2909518,4.4.1.17,Porphyrin metabolism;Metabolic pathways,Porphyrin metabolism;Metabolic pathways,True,False,True,"similar to Saccharomyces cerevisiae CYC3 (YAL039C)%3B ancestral locus Anc_7.38,  similar to uniprot|P06182 Saccharomyces cerevisiae YAL039c "
YALI1_C26167g,2909972,2.8.1.7,Thiamine metabolism;Metabolic pathways;Biosynthesis of cofactors;Sulfur relay system,Thiamine metabolism;Metabolic pathways;Biosynthesis of cofactors,True,False,True,highly similar to uniprot|P25374 Saccharomyces cerevisiae YCL017c NFS1 regulates Iron-Sulfur cluster proteins cellular Iron uptake and Iron 
YALI1_E07508g,2912385,4.4.1.17,Porphyrin metabolism;Metabolic pathways,Porphyrin metabolism;Metabolic pathways,True,False,True,similar to DEHA0G19305g Debaryomyces hansenii and uniprot|Q00873 Saccharomyces cerevisiae YKL087c CYT2 holocytochrome-c1 synthase
YALI1_E11370g,2912526,6.3.5.6;6.3.5.7,Aminoacyl-tRNA biosynthesis;Metabolic pathways,Aminoacyl-tRNA biosynthesis;Metabolic pathways,True,False,True,"similar to Saccharomyces cerevisiae PET112 (YBL080C)%3B ancestral locus Anc_7.403,  weakly similar to uniprot|P33893 Saccharomyces cerevisia"
YALI1_E13472g,2912634,2.8.1.8,Lipoic acid metabolism;Metabolic pathways;Biosynthesis of cofactors,Lipoic acid metabolism;Metabolic pathways;Biosynthesis of cofactors,True,False,True,"similar to uniprot|P32875 Saccharomyces cerevisiae YOR196c LIP5 lipoic acid synthase mitochondrial precursor,similar to Saccharomyces cerevi"
YALI1_E25812g,2911957,2.1.1.362,Lysine degradation;Metabolic pathways,Lysine degradation;Metabolic pathways,True,False,True,weakly similar to uniprot|Q9USK2 Schizosaccharomyces pombe Hypothetical 51.0 kDa protein
YALI1_F26726g,2908051,2.5.1.87,Terpenoid backbone biosynthesis;Biosynthesis of secondary metabolites,Terpenoid backbone biosynthesis;Biosynthesis of secondary metabolites,True,False,True,"similar to uniprot|Q12063 Saccharomyces cerevisiae YDL193W and wi|NCU09312.1 Neurospora crassa NCU09312.1 hypothetical protein,similar to Sa"
YALI1_F36742g,2908786,1.6.2.2,Biosynthesis of various nucleotide sugars,Biosynthesis of various nucleotide sugars,True,False,True,weakly similar to uniprot|Q12746 Saccharomyces cerevisiae YML125c unknown function or uniprot|Q04516 Saccharomyces cerevisiae YML087c unknow
YALI1_A00309g,2905904,6.1.1.5,Aminoacyl-tRNA biosynthesis,Aminoacyl-tRNA biosynthesis,True,True,False,"similar to Saccharomyces cerevisiae ILS1 (YBL076C)%3B ancestral locus Anc_7.398,  similar to uniprot|P09436 Saccharomyces cerevisiae YBL076c"
