target_group,yali1_locus,yali0_locus,ncbi_gene,primary_protein_id,mass_da,detected_samples,exp_mean_mg_gDW,exp_min_mg_gDW,exp_max_mg_gDW,nlim_mean_mg_gDW,nlim_min_mg_gDW,nlim_max_mg_gDW,mapping_note
R745_sulfite_reductase_MET5,YALI1D14058g,YALI0D11176g,2910729,Q6C9H5,157045,18,0.0619992054,0.050690381,0.072899326,0.0108342839,0.006585376,0.022166332,exact_nuclear_mapping
R745_sulfite_reductase_MET10,YALI1E19603g,YALI0E16368g,2911592,Q6C5P4,112662,18,0.1396276,0.125907798,0.15321965,0.0130826968,0.009213502,0.034147989,exact_nuclear_mapping
R302_ferrochelatase,YALI1F25924g,YALI0F19470g,2907673,Q6C140,43608,18,0.0297531374,0.015446781,0.079860989,0.0114053919,0.005756075,0.019481514,exact_nuclear_mapping
R384_heme_O_synthase_COX10,YALI1F31135g,YALI0F23727g,2908754,Q6C0L2,51187,14,0.003374148,0.002465528,0.004139222,0.0005359962,0.000179746,0.000871989,exact_nuclear_mapping
R383_model_GPR_unverified,YALI1B03314g,YALI0B02222g,2906933,Q6CFZ5,17777,17,0.007431582,0.003098823,0.010610745,0.00241092037,0.000479935,0.00766914,exact_ID_mapping_but_R383_function_not_verified
R383_model_GPR_unverified,YALI1B19490g,YALI0B14839g,2907349,Q6CEL0,51002,18,0.00519698433,0.004222102,0.006379703,0.003926176,0.003091596,0.00487744,exact_ID_mapping_but_R383_function_not_verified
R383_model_GPR_unverified,YALI1F32002g,YALI0F24651g,2908472,Q6C0H5,56968,18,0.0209360513,0.013537757,0.027721134,0.00384813256,0.000849715,0.006951464,exact_ID_mapping_but_R383_function_not_verified
R304_complex_IV_GPR,YALI1D23237g,YALI0D18568g,2911123,Q6C8M0,61828,0,,,,,,,not_quantified_not_zero
R304_complex_IV_GPR,YALI1M00277g,YALIfMp14,,NP_075434_or_NP_075438,,0,,,,,,,mitochondrial_pair_order_unresolved_and_not_in_proteomics_table
R304_complex_IV_GPR,YALI1M00325g,YALIfMp18,,NP_075434_or_NP_075438,,0,,,,,,,mitochondrial_pair_order_unresolved_and_not_in_proteomics_table
R304_complex_IV_GPR,YALI1F06244g,YALI0F04114g,94583846,B5RSK7,6684,18,0.485371886,0.373351901,0.610682917,0.250502217,0.146736755,0.292359808,current_model_retains_YALI0_locus
R304_complex_IV_GPR,YALI1E23635g,YALI0E19723g,2911778,Q6C5A3,17421,18,0.0216272496,0.014541093,0.029036497,0.00760584956,0.005531406,0.010355474,exact_nuclear_mapping
R304_complex_IV_GPR,YALI1F04455g,YALI0F03201g,2907750,Q6C325,16775,18,0.243781661,0.206219812,0.334087566,0.0729499667,0.060601982,0.087376637,exact_nuclear_mapping
R304_complex_IV_GPR,YALI1E12730g,YALI0E10144g,2912587,Q6C6E6,17109,18,0.0107263583,0.008965806,0.012967299,0.00460608844,0.003314161,0.007491952,exact_nuclear_mapping
R304_complex_IV_GPR,YALI1E19902g,YALI0E16709g,2911633,Q6C5M8,10045,17,0.00374764789,0.00256547,0.005546508,0.00216032475,0.000745435,0.003855183,exact_nuclear_mapping
R304_complex_IV_GPR,YALI1F06236g,YALI0F04103g,2907703,Q6C2Y3,8553,0,,,,,,,not_quantified_not_zero
R304_complex_IV_GPR,YALI1E15606g,YALI0E12628g,7009551,B5FVH7,7426,0,,,,,,,not_quantified_not_zero
R304_R305_cytochrome_c,YALI1D11769g,YALI0D09273g,2910838,Q6C9Q0,11959,17,0.177097518,0.145869156,0.257046283,0.0143317369,0.000267176,0.035930203,exact_nuclear_mapping
R304_complex_IV_GPR,YALI1F05089g,YALI0F03567g,2907731,Q6C309,18890,18,0.0552890431,0.047054634,0.064247677,0.0375957651,0.030928947,0.044771732,exact_nuclear_mapping
R305_complex_III_GPR,YALI1M00390g,YALIfMp23,,NP_075443,,0,,,,,,,mitochondrial_core_subunit_not_in_proteomics_table
R305_complex_III_GPR,YALI1A14736g,YALI0A14806g,2906239,Q6CGY9,52786,18,0.313681825,0.284851349,0.337575985,0.13892476,0.103078018,0.161361013,exact_nuclear_mapping
R305_complex_III_GPR,YALI1E40361g,YALI0E34037g,2911660,Q6C3K7,14656,18,0.108404426,0.087549891,0.131404609,0.048282198,0.042523184,0.054372981,exact_nuclear_mapping
R305_complex_III_GPR,YALI1A03322g,YALI0A02915g,2906354,Q6CI02,24533,18,0.45597965,0.40441469,0.499773446,0.145377729,0.095623287,0.173538943,exact_nuclear_mapping
R305_complex_III_GPR,YALI1F32010g,YALI0F24673g,2908447,Q6C0H4,15773,18,0.00455440522,0.002045312,0.008153844,0.00454089956,0.00233995,0.007998911,exact_nuclear_mapping
R305_complex_III_GPR,YALI1B02487g,YALI0B01540g,2906637,Q6CG23,8031,18,0.0416043381,0.03627844,0.050028875,0.017233989,0.009639947,0.021491175,exact_nuclear_mapping
R305_complex_III_GPR,YALI1C17100g,YALI0C12210g,2910119,Q6CC60,9105,18,0.029537559,0.026829622,0.034879126,0.0243411677,0.015196814,0.033963651,exact_nuclear_mapping
R305_complex_III_GPR,YALI1F02758g,YALI0F01771g,2908158,Q6C387,10451,18,0.070559421,0.06241449,0.082563272,0.02893461,0.007635634,0.053096867,exact_nuclear_mapping
R305_complex_III_GPR,YALI1A17570g,YALI0A17468g,2906335,Q6CGP7,36510,18,0.305892258,0.194766461,0.515793744,0.111643566,0.098816551,0.122317521,exact_nuclear_mapping
R305_complex_III_GPR,YALI1F12013g,YALI0F08613g,2908481,Q6C2E3,44230,18,0.625764462,0.58382423,0.677986665,0.230558956,0.215761015,0.260386064,exact_nuclear_mapping
