audit_id	claim_id	source_id	source_opened	source_identity_verified	exact_locator_verified	condition_match	directness_verified	verdict	severity	notes
AUD-QC-001	CLM-QC-001	SRC-QC-001;SRC-QC-002;SRC-QC-003;SRC-QC-004	true	true	true	partial_species_level	true	supported	material	Independent auditor verified Yamada CBS 6124 Table 2, PIPO Q9 HPLC, COQ1YL CoQ9, and ATCC20362 patent assay; wording restricted to principal/canonical homolog.
AUD-QC-002	CLM-QC-002	SRC-QC-001;SRC-QC-002;SRC-QC-004	true	true	true	partial	true	unsupported	material	No source reports comprehensive homolog spectrum with LOD/LOQ sufficient to exclude trace Q6/Q8/Q10.
AUD-QC-003	CLM-QC-003	SRC-QC-003;SRC-QC-005	true	true	true	heterologous_function	true	supported	material	Saeed construct and Fig.5 directly link retained Yl COQ1 core to CoQ9 product; native-background patent replacement is lower-tier corroboration.
AUD-QC-004	CLM-QC-004	SRC-QC-003	true	true	true	not_applicable_to_native_targeting	true	contradicted	material	Native first 60 residues were removed and replaced with Sc mitochondrial import signal.
AUD-QC-005	CLM-QC-005	SRC-LOCAL-001;SRC-QC-001;SRC-QC-002;SRC-QC-003	true	true	true	product_chain_length	true	contradicted	material	Frozen model C6 chemistry conflicts with multiple C9 observations; redox endpoint is not resolved by these methods.
AUD-QC-006A	CLM-QC-006A	SRC-DB-001;SRC-DB-002	true	true	true	database_state_2026_08_06	true	partially_supported	material	COQ2/UbiA family chemistry is consistent with R407, but no native Yarrowia locus biochemistry exists and chain length remains a separate conflict.
AUD-QC-006B	CLM-QC-006B	SRC-QC-004;SRC-QC-007	true	true	true	no_native_yarrowia_match	true	unverified	material	No native Yarrowia microscopy, fractionation, or locus-specific localization assay was verified; the opened direct localization experiment is in Saccharomyces.
AUD-QC-007	CLM-QC-007	SRC-QC-006;SRC-QC-007;SRC-QC-008	true	true	true	no_yarrowia_match	true	unverified	material	No direct Yarrowia source for cytosolic hydroxylation or dedicated intermediate transporter; comparator evidence is not species proof.
AUD-QC-008	CLM-QC-008	SRC-QC-007;SRC-QC-008	true	true	true	species_mismatch	true	unsupported	material	All direct localization work is in Saccharomyces cerevisiae.
AUD-QC-009	CLM-QC-009	SRC-QC-002	true	true	true	product_association_only	true	unsupported	material	Complex-I-associated terminal product cannot localize every biosynthetic step.
AUD-QC-010A	CLM-QC-010A	SRC-LOCAL-001;SRC-QC-001;SRC-QC-002;SRC-QC-003	true	true	true	product_chain_length	true	contradicted	material	The frozen endpoint is C6, while tested-isolate and heterologous catalytic-core evidence points to C9; target-strain confirmation remains absent.
AUD-QC-010B	CLM-QC-010B	SRC-QC-001;SRC-QC-002;SRC-QC-003	true	true	true	no_in_vivo_redox_measurement	true	unverified	material	The cited extraction and product-identification methods do not establish the in-vivo whole-pool Q9/Q9H2 ratio.
AUD-QC-011	CLM-QC-011	SRC-QC-001;SRC-QC-002;SRC-QC-003;SRC-QC-004	true	true	true	no_target_background_whole_cell_assay	true	unverified	material	No direct native whole-cell CoQ homolog measurement was located for W29, PO1f, or CLIB89; absence of located evidence is not absence of CoQ9.
AUD-QC-012	CLM-QC-012	SRC-DB-001	true	true	true	database_state_2026_08_06	true	supported	material	KEGG directly displays the putative hexaprenyl-pyrophosphate-synthase label; the label is database provenance, not biological validation.
AUD-QC-013	CLM-QC-013	SRC-LOCAL-001	true	true	true	frozen_model_snapshot	true	supported	material	Direct SBML inspection verifies cytosolic R39 and the R808 cytosol-to-mitochondrion transport representation; biology remains unverified.
AUD-DM-001	CLM-DM-001	SRC-QC-001;SRC-QC-002;SRC-QD-001;SRC-QD-002	partial	true	partial	multiple_unmatched_conditions	true	supported	material	Direct extraction, HPLC, MS, and cryo-EM establish a nonzero Q9 pool or association; Kogan was bibliographic-only and no target-condition coefficient follows.
AUD-DM-002	CLM-DM-002	SRC-QD-003;SRC-QD-004;SRC-QD-005	partial	true	partial	po1f_sd_leu_match	true	supported	material	Ramesh 2023 directly verifies conditions and consensus with nuclease discordance; Schwartz and Patterson were not independently opened, and locus fitness is not biochemical validation.
AUD-DM-003	CLM-DM-003	SRC-QD-003;SRC-QD-005	partial	true	partial	po1f_sd_leu_match	true	contradicted	material	The COQ3 candidate is nonessential in both Ramesh CRISPR datasets and absent from the consensus; mechanism remains unresolved.
AUD-DM-004	CLM-DM-004	SRC-QD-006;SRC-QD-007;SRC-QD-008	true	true	true	direct_species_multiple_conditions	true	supported	material	Respiratory topology supports a shared cycling Q/QH2 carrier; dilution and degradation are separate finite-pool processes.
AUD-DM-005	CLM-DM-005	SRC-QC-002;SRC-QD-002	true	true	true	different_strains_constructs_preparations	true	contradicted	material	Q9 occupancy varies across strains, constructs, detergents, purification, and assays; it cannot supply a fixed prosthetic coefficient.
AUD-DM-006A	CLM-DM-006A	SRC-QC-001;SRC-QC-002;SRC-QD-002	true	true	true	conceptual_mass_balance	true	supported	material	A nonzero finite pool maintained during growth implies a dilution replacement term; this does not supply a measured coefficient.
AUD-DM-006B	CLM-DM-006B	SRC-QD-001;SRC-QC-004	partial	true	partial	no_condition_matched_abundance	true	unsupported	material	Kogan's denominator is unverified and the patent value is oil-normalized; neither supplies W29/PO1f SD-Leu cQ in mmol/gDCW.
AUD-DM-007	CLM-DM-007	SRC-QD-001;SRC-QD-008	partial	true	false	no_parameter_found	false	unverified	material	No Yarrowia half-life, degradation rate, or non-growth replacement flux was located; absence of located evidence is not zero turnover.
AUD-DM-008	CLM-DM-008	SRC-QD-007;SRC-QD-008	true	true	true	growth_phase_comparison_without_pool_measurement	true	unsupported	material	Respiratory routing changes with growth stage, but total Q pool was not measured and no stage-independent coefficient is supported.
AUD-DM-009	CLM-DM-009	SRC-LOCAL-001	true	true	true	frozen_model_context	true	supported	material	The frozen-context FVA zero intervals and absent effective net demand are direct model observations, not biological zero-demand evidence.
AUD-GR-001A	CLM-GR-001A	SRC-DB-001;SRC-DB-002	true	true	true	database_state_2026_08_06	true	supported	material	The YALI1F08349g identifier chain to YALI0/YALI2/GeneID/RefSeq/Q6C2S2 is supported; function is a separate claim.
AUD-GR-001B	CLM-GR-001B	SRC-DB-001;SRC-DB-002	true	true	true	database_state_2026_08_06	true	supported	material	The YALI1F34625g identifier chain to YALI0/YALI2/GeneID/RefSeq/Q6C074 is supported; function is a separate claim.
AUD-GR-001C	CLM-GR-001C	SRC-DB-001;SRC-DB-002	true	true	true	database_state_2026_08_06	true	supported	material	The YALI1B20527g identifier chain to YALI0/YALI2/GeneID/RefSeq/Q6CEH1 is supported; Q6CEH1 lacks an explicit COQ8 gene name.
AUD-GR-001D	CLM-GR-001D	SRC-DB-001;SRC-DB-002	true	true	true	database_state_2026_08_06	true	supported	material	The YALI1A08781g identifier chain to YALI0/YALI2/GeneID/RefSeq/F2Z6J4 is supported; function is a separate claim.
AUD-GR-001E	CLM-GR-001E	SRC-DB-001;SRC-DB-002	true	true	true	database_state_2026_08_06	true	supported	material	The YALI1F34675g identifier chain to YALI0/YALI2/GeneID/RefSeq/Q6C071 is supported; Q6C071 lacks an explicit COQ9 gene name.
AUD-GR-001F	CLM-GR-001F	SRC-DB-001;SRC-DB-002	true	true	true	database_state_2026_08_06	true	supported	material	The YALI1C25352g identifier chain to YALI0/YALI2/GeneID/RefSeq/Q6CBJ6 is supported; function is a separate claim.
AUD-GR-001G	CLM-GR-001G	SRC-DB-001;SRC-DB-002	true	true	true	database_state_2026_08_06	true	supported	material	The YALI1B20835g identifier chain to YALI0/YALI2/GeneID/RefSeq/Q6CEG2 is supported; function is a separate claim.
AUD-GR-001H	CLM-GR-001H	SRC-DB-001;SRC-DB-002	true	true	true	database_state_2026_08_06	true	supported	material	The YALI1E18269g identifier chain to YALI0/YALI2/GeneID/RefSeq/Q6C5T9 is supported; function is a separate claim.
AUD-GR-002	CLM-GR-002	SRC-DB-001;SRC-DB-002	true	true	true	yarrowia_family_annotation	true	partially_supported	material	COQ2/UbiA family chemistry is consistent with R407, but native locus biochemistry is absent and the hexaprenyl label conflicts with CoQ9 evidence.
AUD-GR-003	CLM-GR-003	SRC-GR-001;SRC-DB-002	true	true	true	comparative_species	true	partially_supported	material	Comparative Coq3/UbiG experiments support two O-methylations and nominate R715/R385; native Yarrowia function is unverified.
AUD-GR-004	CLM-GR-004	SRC-GR-002;SRC-DB-002	true	true	true	comparative_species	true	partially_supported	material	Comparative Coq5 biochemistry nominates R18 C-methylation; native Yarrowia function is unverified.
AUD-GR-005	CLM-GR-005	SRC-QC-006;SRC-GR-010;SRC-DB-002	true	true	true	comparative_and_artificial_in_vitro	true	partially_supported	material	Comparative Coq6 evidence nominates R39/R19 direct catalysis; native function, compartment, and complete partner requirements are unverified.
AUD-GR-006	CLM-GR-006	SRC-GR-003;SRC-DB-002	true	true	true	comparative_species	true	partially_supported	material	Comparative Coq7 rescue supports R695 direct catalysis; native function and obligatory COQ9 partnering are unverified.
AUD-GR-007	CLM-GR-007	SRC-GR-004;SRC-GR-010;SRC-DB-002	true	true	true	heterologous_and_artificial_in_vitro	true	partially_supported	material	COQ4 oxidative-decarboxylase studies nominate GPR-less R40; no native Yarrowia locus experiment exists.
AUD-GR-008	CLM-GR-008	SRC-GR-005;SRC-GR-009;SRC-GR-010	true	true	true	comparative_systems	true	supported	material	Conserved-system evidence supports a regulatory ATPase/accessory rather than a generic atom-transfer role; the Yarrowia locus remains provisional.
AUD-GR-009	CLM-GR-009	SRC-GR-006;SRC-GR-007;SRC-GR-010	true	true	true	comparative_systems	true	supported	material	Complex, isotope, and omission evidence supports a synthome-associated accessory affecting Coq6/Coq7; native Yarrowia necessity is unverified.
