yali1_id,ncbigene,ec,all_kegg_pathways,metabolic_pathways,in_true_metabolic_pathway,in_model,is_expansion_candidate,description,model_status,review_note,add_feasibility
YALI1_B13041g,2907264,2.4.1.80,Sphingolipid metabolism;Metabolic pathways;Cornified envelope formation,Sphingolipid metabolism;Metabolic pathways,True,False,True,similar to uniprot|Q96V37 Pichia pastoris Ceramide glucosyltransferase,missing_reaction,"GlcCer synthase 2.4.1.80: substrates (ceramide, UDP-glucose) in model but product glucosylceramide absent AND has no downstream enzyme / not in biomass in Y.lipolytica -> would be a dead-end if added",dead_end
YALI1_C18011g,2909518,4.4.1.17,Porphyrin metabolism;Metabolic pathways,Porphyrin metabolism;Metabolic pathways,True,False,True,"similar to Saccharomyces cerevisiae CYC3 (YAL039C)%3B ancestral locus Anc_7.38,  similar to uniprot|P06182 Saccharomyces cerevisiae YAL039c ",missing_reaction,holocytochrome-c synthase 4.4.1.17: heme + apocytochrome-c in model but product holocytochrome-c absent with no downstream -> dead-end,dead_end
YALI1_C26167g,2909972,2.8.1.7,Thiamine metabolism;Metabolic pathways;Biosynthesis of cofactors;Sulfur relay system,Thiamine metabolism;Metabolic pathways;Biosynthesis of cofactors,True,False,True,highly similar to uniprot|P25374 Saccharomyces cerevisiae YCL017c NFS1 regulates Iron-Sulfur cluster proteins cellular Iron uptake and Iron ,missing_reaction,"cysteine desulfurase NFS1 2.8.1.7: substrate/product are protein-bound carriers ([enzyme]-cysteine, S-sulfanyl-acceptor) for Fe-S assembly, not free small molecules -> outside GEM scope",protein_carrier
YALI1_E07508g,2912385,4.4.1.17,Porphyrin metabolism;Metabolic pathways,Porphyrin metabolism;Metabolic pathways,True,False,True,similar to DEHA0G19305g Debaryomyces hansenii and uniprot|Q00873 Saccharomyces cerevisiae YKL087c CYT2 holocytochrome-c1 synthase,missing_reaction,holocytochrome-c-type synthase 4.4.1.17: same as C18011g -> dead-end,dead_end
YALI1_E13472g,2912634,2.8.1.8,Lipoic acid metabolism;Metabolic pathways;Biosynthesis of cofactors,Lipoic acid metabolism;Metabolic pathways;Biosynthesis of cofactors,True,False,True,"similar to uniprot|P32875 Saccharomyces cerevisiae YOR196c LIP5 lipoic acid synthase mitochondrial precursor,similar to Saccharomyces cerevi",missing_reaction,"lipoyl synthase LIP5 2.8.1.8: substrates/products are [protein]-modified lysine + Fe-S scaffold + ferredoxin (protein carriers, cofactor assembly) -> outside GEM scope",protein_carrier
YALI1_F26726g,2908051,2.5.1.87,Terpenoid backbone biosynthesis;Biosynthesis of secondary metabolites,Terpenoid backbone biosynthesis;Biosynthesis of secondary metabolites,True,False,True,"similar to uniprot|Q12063 Saccharomyces cerevisiae YDL193W and wi|NCU09312.1 Neurospora crassa NCU09312.1 hypothetical protein,similar to Sa",missing_reaction,"polyprenyl-PP synthase 2.5.1.87: variable-length polymerization (n=10-55), stoichiometry not fixed -> not cleanly mass-balanceable as a single reaction",non_standard
YALI1_B29895g,2906944,2.7.4.3,Purine metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Nucleotide metabolism;Biosynthesis of cofactors;Ribosome biogenesis in eukaryotes,Purine metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors,True,False,True,"similar to uniprot|Q8TG40 Candida albicans Hemoglobin and proliferation regulated protein,similar to Saccharomyces cerevisiae FAP7 (YDL166C)",borderline,"FAP7 / adenylate kinase isoenzyme 6 (AK6, KO K18532); EC 2.7.4.3 is technically correct but its essentiality comes from ribosome (40S) biogenesis, not AK metabolism. Model's AK reactions (R121/R122/R1085) are covered by true energy-metabolism AK genes; do NOT add FAP7 to their GPR.",omit_protein_modification
YALI1_A21509g,2906583,2.4.1.198,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis;Metabolic pathways,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis;Metabolic pathways,True,False,True,"similar to uniprot|P32363 Saccharomyces cerevisiae YPL175w SPT14 N-acetylglucosaminyltransferase,similar to Saccharomyces cerevisiae SPT14 (",borderline,"GPI-anchor GlcNAc transferase EC2.4.1.198; protein-lipid modification, most GEMs omit",omit_protein_modification
YALI1_B21423g,2907461,2.4.99.18,N-Glycan biosynthesis;Various types of N-glycan biosynthesis;Metabolic pathways;Protein processing in endoplasmic reticulum,N-Glycan biosynthesis;Various types of N-glycan biosynthesis;Metabolic pathways,True,False,True,"similar to Saccharomyces cerevisiae STT3 (YGL022W)%3B ancestral locus Anc_4.98,  similar to uniprot|P39007 Saccharomyces cerevisiae YGL022w ",borderline,"STT3 oligosaccharyltransferase EC2.4.99.18; protein N-glycosylation, usually not metabolic",omit_protein_modification
YALI1_E25812g,2911957,2.1.1.362,Lysine degradation;Metabolic pathways,Lysine degradation;Metabolic pathways,True,False,True,weakly similar to uniprot|Q9USK2 Schizosaccharomyces pombe Hypothetical 51.0 kDa protein,borderline,"methyltransferase EC2.1.1.362; weak homology annotation, uncertain",omit_protein_modification
YALI1_E11370g,2912526,6.3.5.6;6.3.5.7,Aminoacyl-tRNA biosynthesis;Metabolic pathways,Aminoacyl-tRNA biosynthesis;Metabolic pathways,True,False,True,"similar to Saccharomyces cerevisiae PET112 (YBL080C)%3B ancestral locus Anc_7.403,  weakly similar to uniprot|P33893 Saccharomyces cerevisia",ec_false_hit,"Glu-tRNA amidotransferase (PET112); EC6.3.5.7 hit (R671 prephenate dehydrogenase) is a mislabel, not same enzyme; translation-related, skip",skip_ec_mislabel
YALI1_F36742g,2908786,1.6.2.2,Biosynthesis of various nucleotide sugars,Biosynthesis of various nucleotide sugars,True,False,True,weakly similar to uniprot|Q12746 Saccharomyces cerevisiae YML125c unknown function or uniprot|Q04516 Saccharomyces cerevisiae YML087c unknow,ec_false_hit,"cytochrome-b5 reductase; EC1.6.2.2 hit (sterol desaturase/P450 using cyt-b5) not same enzyme; electron-carrier component, skip",skip_ec_mislabel
