reaction_id,reaction_name,reaction_type,gene_reaction_rule,n_genes,n_metabolites,compartments,has_annotation,annotation_keys,has_bigg,has_kegg,has_metanetx,has_rhea,has_ec,has_sbo,gene_ec_codes,met_bigg_id,is_blocked
R1,(R)-lactate:ferricytochrome-c 2-oxidoreductase,transport,(YALI1D11769g and YALI1E03870g) or YALI1C08548g,3,4,"C_cy,C_mi",True,"kegg.reaction,keggr,metanetx.reaction",False,True,True,False,False,False,,,False
R2,(R)-lactate:ferricytochrome-c 2-oxidoreductase,metabolic,YALI1E03870g and YALI1D11769g,2,4,C_mi,True,"kegg.reaction,keggr,metanetx.reaction",False,True,True,False,False,False,,,False
R3,(S)-lactate:ferricytochrome-c 2-oxidoreductase,transport,YALI1E03870g and YALI1D11769g,2,4,"C_cy,C_mi",True,"kegg.reaction,keggr,metanetx.reaction",False,True,True,False,False,False,,,False
R4,"1,3-beta-glucan synthase",transport,YALI1C01944g or YALI1E25018g,2,4,"C_cy,C_en",False,,False,False,False,False,False,False,,,False
R5,(1-6)-beta-glucan synthase,transport,YALI1C19943g,1,4,"C_cy,C_en",False,,False,False,False,False,False,False,,,True
R6,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase,metabolic,YALI1F07827g,1,2,C_cy,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,,,False
R7,1-phosphatidylinositol-3-phosphate 5-kinase,metabolic,YALI1E34425g,1,5,C_vm,False,,False,False,False,False,False,False,,,False
R8,1-phosphatidylinositol-3-phosphate 5-kinase,metabolic,YALI1F30903g,1,5,C_en,False,,False,False,False,False,False,False,,,False
R9,1-pyrroline-5-carboxylate dehydrogenase,metabolic,YALI1B12993g,1,6,C_mi,True,"bigg.reaction,biggr,kegg.reaction,keggr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,,,False
R10,"2,3-diketo-5-methylthio-1-phosphopentane degradation reaction",metabolic,YALI1A14287g and YALI1D20706g,2,6,C_cy,True,"bigg.reaction,biggr,metanetx.reaction,rh,rhea,seed.reaction,seedr,vmhr,vmhreaction",True,False,True,True,False,False,,,False
R11,"2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase",metabolic,YALI1F16069g,1,5,C_cy,True,"metanetx.reaction,seed.reaction,seedr",False,False,True,False,False,False,,,True
R12,"2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)",metabolic,YALI1D08339g,1,5,C_cy,False,,False,False,False,False,False,False,,,True
R13,2-aceto-2-hydroxybutanoate synthase,metabolic,YALI1C00293g or (YALI1C13355g and YALI1C00293g),2,5,C_mi,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,,,False
R14,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,metabolic,YALI1A03069g,1,5,C_mi,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,,,True
