gene_id,structural_evidence,current_model_context,identity_status,gpr_decision,reason_or_next_gate,source
YALI1A01824g,PDB_6YJ4_subunit,absent_from_legacy_R570_rule,provisional,deferred,Structural presence alone does not establish required Boolean membership,https://www.rcsb.org/structure/6YJ4
YALI1A03153g,PDB_6YJ4_subunit,absent_from_legacy_R570_rule,provisional,deferred,Structural presence alone does not establish required Boolean membership,https://www.rcsb.org/structure/6YJ4
YALI1A18188g,PDB_6YJ4_subunit,absent_from_legacy_R570_rule,provisional,deferred,Structural presence alone does not establish required Boolean membership,https://www.rcsb.org/structure/6YJ4
YALI1A21711g,PDB_6YJ4_subunit,present_in_legacy_R570_rule,provisional,deferred,Legacy R570 AND rule is not evidence for R1889 membership,https://www.rcsb.org/structure/6YJ4
YALI1B00908g,PDB_6YJ4_subunit,present_in_legacy_R570_rule,provisional,deferred,Legacy R570 AND rule is not evidence for R1889 membership,https://www.rcsb.org/structure/6YJ4
YALI1B19507g,PDB_6YJ4_subunit,present_in_legacy_R570_rule,provisional,deferred,Legacy R570 AND rule is not evidence for R1889 membership,https://www.rcsb.org/structure/6YJ4
YALI1B26679g,PDB_6YJ4_subunit,present_in_legacy_R570_rule,provisional,deferred,Legacy R570 AND rule is not evidence for R1889 membership,https://www.rcsb.org/structure/6YJ4
YALI1C04281g,PDB_6YJ4_subunit,present_in_legacy_R570_rule,provisional,deferred,Legacy R570 AND rule is not evidence for R1889 membership,https://www.rcsb.org/structure/6YJ4
YALI1C30086g,PDB_6YJ4_subunit,absent_from_legacy_R570_rule,provisional,deferred,Structural presence alone does not establish required Boolean membership,https://www.rcsb.org/structure/6YJ4
YALI1D00766g,PDB_6YJ4_subunit,present_in_legacy_R570_rule,provisional,deferred,Legacy R570 AND rule is not evidence for R1889 membership,https://www.rcsb.org/structure/6YJ4
YALI1D06302g,PDB_6YJ4_subunit,present_in_legacy_R570_rule,provisional,deferred,Legacy R570 AND rule is not evidence for R1889 membership,https://www.rcsb.org/structure/6YJ4
YALI1D07089g,PDB_6YJ4_subunit,present_in_legacy_R570_rule,provisional,deferred,Legacy R570 AND rule is not evidence for R1889 membership,https://www.rcsb.org/structure/6YJ4
YALI1D09203g,PDB_6YJ4_subunit,present_in_legacy_R570_rule,provisional,deferred,Legacy R570 AND rule is not evidence for R1889 membership,https://www.rcsb.org/structure/6YJ4
YALI1D12956g,PDB_6YJ4_subunit,absent_from_legacy_R570_rule,provisional,deferred,Structural presence alone does not establish required Boolean membership,https://www.rcsb.org/structure/6YJ4
YALI1D18037g,PDB_6YJ4_ACPM_candidate,present_in_legacy_R570_rule,identity_conflict,deferred,Resolve acyl-carrier subunit label against YALI1D32594g before any GPR,https://www.rcsb.org/structure/6YJ4
YALI1D22691g,PDB_6YJ4_subunit,absent_from_legacy_R570_rule,provisional,deferred,Structural presence alone does not establish required Boolean membership,https://www.rcsb.org/structure/6YJ4
YALI1D24109g,PDB_6YJ4_subunit,present_in_legacy_R570_rule,provisional,deferred,Legacy R570 AND rule is not evidence for R1889 membership,https://www.rcsb.org/structure/6YJ4
