source_id	strand	citation	year	species_or_system	method	exact_locator	primary_url	verification_scope	transfer_limit
SRC-LOCAL-001	model	Current iYali26 model.xml; SHA-256 bc2aac8fecd8f2f5f20de7bb3c988bf46b3a5831e525f556498ed51159bc1bee	2026	Yarrowia lipolytica model	Direct SBML inspection; mass-balance and targeted KO baseline	R763 through R385; R39/R19; PO1f SD-Leu effective context	model.xml	locally hash-verified	Model state is not biological evidence
SRC-EXP-001	fitness	Ramesh A et al. acCRISPR: an activity-correction method for improving the accuracy of CRISPR screens	2023	Yarrowia lipolytica PO1f; Cas9 and Cas12a SD-Leu screens	Pooled CRISPR fitness; activity correction; gene-level q values	Supplementary Data 4; normalized local fitness table SHA-256 97ef559651cd99ce63144ffe08ae64e983ecaec60d568f859da8926c14c7d9ff	https://doi.org/10.1038/s42003-023-04996-8	primary source and local table checked	Fitness supports condition-level phenotype, not reaction chemistry or CoQ9 pool size
SRC-DB-001	identity	UniProt F2Z6J4, Q6CEH1 and Q6C071; KEGG yli00130	2026	Yarrowia lipolytica reference annotation	Curated/computational protein-family annotation	Individual entries and pathway record	https://www.kegg.jp/entry/yli00130	identity bridge only	Database annotation is not native functional validation
SRC-C6-001	COQ6	Gin P et al. The Saccharomyces cerevisiae COQ6 gene encodes a mitochondrial flavin-dependent monooxygenase required for ubiquinone biosynthesis	2003	Saccharomyces cerevisiae coq6 mutants	Complementation; 14C-4-HB labeling/HPLC; fractionation; protease protection; carbonate extraction	Fig. 3; Fig. 7b-e and associated Results	https://doi.org/10.1074/jbc.M303234200	primary source opened	Comparator yeast; supports matrix-side inner-membrane topology, not Yarrowia localization
SRC-C6-002	COQ6	Ozeir M et al. Coenzyme Q biosynthesis: Coq6 is required for the C5-hydroxylation reaction and substrate analogs rescue Coq6 deficiency	2011	Saccharomyces cerevisiae coq6 mutants	Diagnostic intermediates; CoQ quantification; respiration; chemical rescue	Fig. 2, 3 and 5	https://doi.org/10.1016/j.chembiol.2011.07.008	primary source opened	Supports comparative C5 regiochemistry; exact carboxylated-substrate order and Yarrowia topology remain unresolved
SRC-C6-003	COQ6	Ozeir M et al. Coq6 Is Responsible for the C4-deamination Reaction in Coenzyme Q Biosynthesis in Saccharomyces cerevisiae	2015	Saccharomyces cerevisiae W303 and coq6 mutants	18O2/H2-18O tracing; HPLC-MS; diagnostic intermediates	Fig. 1-4; Discussion, Proposed Mechanism	https://doi.org/10.1074/jbc.M115.675744	primary source opened	C1 modification persists without Coq6; native C1 hydroxylase remained unknown
SRC-C6-004	COQ6	Ismail A et al. Coenzyme Q Biosynthesis: Evidence for a Substrate Access Channel in the FAD-Dependent Monooxygenase Coq6	2016	Recombinant Saccharomyces cerevisiae Coq6	Flavin extraction/HPLC; spectroscopy; structural modelling	Fig. 1; Supplementary Fig. S2 for FAD identity; Purification and Characterization Results for NAD(P)H result	https://doi.org/10.1371/journal.pcbi.1004690	primary source opened	Bound FAD and lack of direct NAD(P)H reduction; not Yarrowia enzymology
SRC-C6-005	COQ6	Gonzalez et al. Activation of Coq6p, a FAD Monooxygenase Involved in Coenzyme Q Biosynthesis, by Adrenodoxin Reductase/Ferredoxin	2024	Recombinant Saccharomyces cerevisiae Coq6 and Yah1; human AdxR substitute	Anaerobic UV-visible electron-transfer assays	Fig. 7A-D; Electron transfer chain section	https://doi.org/10.1002/cbic.202300738	primary source opened	Mixed-species reductase chain; native Yarrowia partner identities unresolved
SRC-C6-006	COQ6;accessory	Nicoll CR et al. In vitro construction of the COQ metabolon unveils the molecular determinants of coenzyme Q biosynthesis	2024	Reconstructed ancestral tetrapod COQ proteins	Purified-protein reconstitution; omission; GC/MS; oxygen consumption	Fig. 2, 4, 5, 6; Extended Data Fig. 8	https://doi.org/10.1038/s41929-023-01087-z	primary source opened	Ancestral animal proteins, truncated constructs, short-chain/non-native substrates and detergent
SRC-C6-007	COQ6	Pelosi L et al. Evolution of ubiquinone biosynthesis in proteobacteria	2016	Bacterial Ubi monooxygenases	Genetics and biochemical comparison	UbiI/UbiH/UbiF and UbiL/UbiM specificity results	https://doi.org/10.1128/mSystems.00091-16	primary source opened	Chemistry comparison only; bacterial assignments cannot prove Yarrowia GPR
