claim_id	strand	claim_text	source_ids	evidence_direction	evidence_type	species	strain	conditions	exact_locator	directness	epistemic_status	confidence	auditor_verdict	audit_notes
CLM-QC-001	chain_chemistry	In the tested Yarrowia lipolytica isolates or historical-name strains, Q9 is the principal detected ubiquinone homolog.	SRC-QC-001;SRC-QC-002;SRC-QC-003;SRC-QC-004	support	whole-cell extraction; mitochondrial complex; heterologous functional; patent assay	Yarrowia lipolytica and historical synonym	CBS 6124; PIPO; ATCC 20362; Yl donor sequence	multiple explicitly separated conditions	Yamada Table 2 p.331; Drose Fig.1/Results; Saeed Fig.5; patent Example 2	direct_species_plus_heterologous_function	qualified_supported	strong	supported	Supports the tested isolates and a CoQ9 catalytic-core interpretation; not trace-homolog exclusivity or condition-matched W29/PO1f confirmation.
CLM-QC-002	chain_chemistry	Available evidence absolutely excludes trace native Q6, Q8, or Q10 in unengineered Yarrowia lipolytica.	SRC-QC-001;SRC-QC-002;SRC-QC-004	challenge	analytical boundary	Yarrowia lipolytica	CBS 6124; PIPO; ATCC 20362	separated	method and Results limitations	direct_species_but_incomplete_spectrum	not_supported	low	unsupported	No LOD/LOQ or comprehensive minor-homolog quantitation.
CLM-QC-003	chain_chemistry	The catalytic core encoded by YALI1C26017g - COQ1 candidate - functionally determines a CoQ9 side chain.	SRC-QC-003;SRC-QC-005	support	heterologous locus replacement; engineered-background patent	Yarrowia coding sequence in Saccharomyces cerevisiae; engineered Yarrowia	COQ1YL; engineered replacement strains	SC glucose/glycerol and patent conditions	Saeed plasmid Methods and Fig.5; patent replacement examples	heterologous_functional	qualified_supported	strong	supported	Direct for retained catalytic core; not a native-locus localization assay.
CLM-QC-004	chain_chemistry	The Saeed COQ1YL experiment validates native Yarrowia COQ1 mitochondrial targeting or localization.	SRC-QC-003	challenge	construct-design logic	Yarrowia coding sequence in Saccharomyces cerevisiae	COQ1YL	SC medium	Methods: native first 60 aa replaced with Sc import signal	not_direct_for_native_targeting	contradicted	strong	contradicted	The experiment removes the native N terminus whose targeting function would need testing.
CLM-QC-005	chain_chemistry	The frozen model's native C30 hexaprenyl to ubiquinol-6 route is compatible with the strongest Yarrowia product evidence.	SRC-LOCAL-001;SRC-QC-001;SRC-QC-002;SRC-QC-003	opposes_model	product chain-length comparison	Yarrowia lipolytica	multiple	separated	frozen R763/R385; Yamada Table 2; Drose Fig.1; Saeed Fig.5	model_to_direct_evidence	contradicted	strong	contradicted	Direct evidence supports C45/CoQ9, not C30/CoQ6; redox endpoint remains separately unresolved.
CLM-QC-006A	chain_chemistry	YALI1F08349g - COQ2 candidate - has family-level identity evidence consistent with R407 polyprenyltransferase chemistry.	SRC-DB-001;SRC-DB-002	support	database family and EC annotation	Yarrowia lipolytica	CLIB122/reference	database state on 2026-08-06	KEGG K06125; UniProt Q6C2S2	database_family_identity	provisional	medium	partially_supported	COQ2/UbiA family chemistry is consistent with R407, but no native Yarrowia locus biochemistry exists and chain length is a separate conflict.
CLM-QC-006B	chain_chemistry	Direct native Yarrowia localization evidence places YALI1F08349g - COQ2 candidate - at the mitochondrial inner membrane or matrix side.	SRC-QC-004;SRC-QC-007	challenge	engineered targeting and comparative localization	Yarrowia lipolytica; Saccharomyces cerevisiae	engineered Yarrowia derivatives; JM43	separated	patent Example 4/Table 10 and Example 6; He Fig.2	none_direct_for_native_yarrowia	unresolved	low	unverified	No native Yarrowia microscopy, fractionation, or locus-specific localization assay was verified; comparative yeast localization cannot be transferred as a species fact.
CLM-QC-007	chain_chemistry	Direct Yarrowia evidence supports cytosolic R39 hydroxylation and a dedicated R808 return transporter.	SRC-QC-006;SRC-QC-007;SRC-QC-008	challenge	bounded negative search plus comparator mechanism	Yarrowia lipolytica; Saccharomyces cerevisiae	unreported for Yarrowia	separated	Ozeir Results; He localization; Subramanian domains	none_direct_in_yarrowia	unresolved	low	unverified	No native Yarrowia enzyme localization, transporter, or intermediate-shuttling assay was found.
CLM-QC-008	chain_chemistry	Saccharomyces Coq localization can be transferred directly as a Yarrowia localization fact.	SRC-QC-007;SRC-QC-008	challenge	comparative mechanism	Saccharomyces cerevisiae	JM43; W303	mitochondrial fractionation and tagged-domain conditions	He Fig.2; Subramanian Figs.1,6	comparative_only	not_supported	low	unsupported	Conserved mechanism generates a hypothesis, not species-specific proof.
CLM-QC-009	chain_chemistry	Q9 co-purification with Yarrowia complex I proves all CoQ biosynthetic steps occur in the same mitochondrial location.	SRC-QC-002	challenge	product-association inference	Yarrowia lipolytica	PIPO	purified complex I	Drose Methods and Fig.1	product_association_only	not_supported	low	unsupported	Terminal-product association cannot localize each precursor or enzyme.
CLM-QC-010A	chain_chemistry	The frozen model's native ubiquinol-6 endpoint is compatible with the strongest Yarrowia product evidence.	SRC-LOCAL-001;SRC-QC-001;SRC-QC-002;SRC-QC-003	opposes_model	product extraction and HPLC	Yarrowia lipolytica	multiple	separated	frozen R385; Yamada Table 2; Drose Fig.1; Saeed Fig.5	direct_for_chain	contradicted	strong	contradicted	The tested-isolate and heterologous catalytic-core evidence points to C9, not the frozen C6 endpoint; target-strain confirmation remains absent.
CLM-QC-010B	chain_chemistry	Current evidence defines the in-vivo whole-pool Q9/Q9H2 redox fraction in Yarrowia lipolytica.	SRC-QC-001;SRC-QC-002;SRC-QC-003	challenge	extraction and HPLC methods	Yarrowia lipolytica	multiple	separated	Yamada Methods; Drose Methods; Saeed Fig.5	no_direct_in_vivo_redox_measurement	unresolved	low	unverified	The cited extraction and product-identification methods do not establish the in-vivo oxidized-to-reduced whole-pool ratio.
CLM-QC-011	chain_chemistry	A direct native whole-cell CoQ homolog measurement is available for the W29, PO1f, or CLIB89 target backgrounds.	SRC-QC-001;SRC-QC-002;SRC-QC-003;SRC-QC-004	challenge	bounded strain-specific evidence search	Yarrowia lipolytica	W29; PO1f; CLIB89 targeted	target backgrounds not represented by a native whole-cell assay	Yamada CBS 6124; Drose PIPO; Saeed heterologous construct; patent ATCC 20362	none_target_background	unresolved	low	unverified	No direct native whole-cell target-background measurement was located; this is not evidence that those backgrounds lack CoQ9.
CLM-QC-012	chain_chemistry	KEGG labels Yarrowia Gene 2909963 as a putative hexaprenyl pyrophosphate synthase.	SRC-DB-001	support	database annotation state	Yarrowia lipolytica	CLIB122/YALI2 mapping	database state on 2026-08-06	KEGG gene and pathway record	database_provenance	qualified_supported	high_for_database_fact	supported	This is a verified database-label fact, not independent experimental evidence for C30 chain length.
CLM-QC-013	chain_chemistry	The frozen model places R39 in the cytosol and uses R808 to transport the modeled intermediate back to mitochondria.	SRC-LOCAL-001	support	direct model inspection	Yarrowia lipolytica	modeled background	frozen 2026-08-06 snapshot	R39 and R808 stoichiometry and compartments	direct_model_observation	qualified_supported	high_for_model_fact	supported	This verifies model content only; it does not validate native localization or transporter biology.
