reaction_id,reaction_name,matched_mnxr,source,model_used,timestamp,prompt_hash,raw_response,candidates,ec_numbers
R1694,"lignoceric acid transport, ER membrane-ER",NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,888a56f9,NONE,no_candidates,
R1621,"myristoyl-CoA transport, cytoplasm-lipid particle",NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,3b186b6d,NONE,no_candidates,
R1800,"phosphatidate transport, ER membrane-vacuolar membrane",NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,a1ad13ad,NONE,no_candidates,
R1815,inositolphosphotransferase,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,9d24ad92,NONE,no_candidates,
R478,IPS phospholipase C,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,eefcc372,NONE,no_candidates,
R435,IPS phospholipase C,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,ea2d2d73,NONE,no_candidates,
R1617,"hexadecenoate (n-C16:1) transport, cytoplasm-lipid particle",NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,24fdb2db,NONE,no_candidates,
R1690,"lignoceric acid transport, cell envelope-ER membrane",NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,f99c3df3,NONE,no_candidates,
R1824,inositolphosphotransferase,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,59745e29,NONE,no_candidates,
R1667,"palmitoleoyl-CoA transport, cytoplasm-mitochondrial membrane",NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,2a6b9248,NONE,no_candidates,
R267,dihydroceramidase,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,a1a8243d,NONE,no_candidates,
R1820,inositolphosphotransferase,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,c46cb15d,NONE,no_candidates,
R807,2-oxoadipate and 2-oxoglutarate transport,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,7952683f,NONE,"MNXR101374,MNXR101343,MNXR101344,MNXR101346,MNXR178239,MNXR101348,MNXR101349,MNXR101357,MNXR201609,MNXR101368",
R2029,cytosol nonspecific dipeptidase,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,560660cc,NONE,"MNXR100276,MNXR100288,MNXR100297,MNXR100299,MNXR100300,MNXR123928,MNXR145090,MNXR101343,MNXR102228,MNXR105403",
R1493,acyl-CoA oxidase (palmitoleoyl-CoA),NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,e3ee45ed,NONE,"MNXR135484,MNXR158925,MNXR162735,MNXR96455,MNXR100492,MNXR113960,MNXR119151,MNXR119678,MNXR184695,MNXR120372",
R1359,water diffusion,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,b2fa705b,NONE,no_candidates,
xLIPID,Lipids pool,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,7afc9a16,NONE,no_candidates,
R486,IPS phospholipase C,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,4d9f0b18,NONE,"MNXR101563,MNXR101567,MNXR108101,MNXR121927,MNXR145611,MNXR159687,MNXR195408,MNXR195411,MNXR195412",
R587,nucleoside diphosphatase,MNXR190800,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,77022a6e,MNXR190800,"MNXR190800,MNXR190870,MNXR96876,MNXR135056,MNXR97048,MNXR97056,MNXR97058,MNXR97059,MNXR97060,MNXR102424",
R1870,"fatty-acid--CoA ligase (octadecadienoate), ER membrane",MNXR163357,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,38478e0e,MNXR163357,"MNXR137208,MNXR188563,MNXR163357,MNXR182661,MNXR182662,MNXR182663,MNXR145807,MNXR145808,MNXR180405,MNXR191018",
R1487,acyl-CoA oxidase (butanoyl-CoA),NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,2b22da1c,NONE,"MNXR135484,MNXR158925,MNXR162735,MNXR96455,MNXR100492,MNXR113960,MNXR119151,MNXR119678,MNXR184695,MNXR120372",
R1270,NMN transport,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,c72bbb59,NONE,no_candidates,
R2197,NO NAME,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,43ca119e,NONE,no_candidates,
R1250,mannan transport,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,39e915de,NONE,no_candidates,
R1120,"palmitate (n-C16:0) transport, cytoplasm-peroxisome",NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,a199e607,NONE,no_candidates,
R2031,Ala-Gly exchange,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,22070dcd,NONE,no_candidates,
R1078,ATP deamination,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,0cb5117e,NONE,"MNXR106652,MNXR182547,MNXR189684,MNXR190722,MNXR201933,MNXR201951,MNXR202726",
R702,ribonucleoside-triphosphate reductase (ATP),NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,c6e3f0af,NONE,no_candidates,
R821,AMP/ATP transporter,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,828a4dc8,NONE,no_candidates,
R39,"3-hexaprenyl-4,5-dihydroxybenzoate hydroxylase",MNXR191286,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,bacd9f49,MNXR191286,"MNXR152681,MNXR152682,MNXR191287,MNXR191286,MNXR177877,MNXR123644,MNXR166088,MNXR184474",
R1905,nucleotidase (nicotinate D-ribonucleotide),NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,54e4ef2d,NONE,no_candidates,
R1803,"phosphatidylethanolamine transport, vacuolar membrane-ER membrane",NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,0d51a5a8,NONE,no_candidates,
R1037,ceramide transport,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,f5e72c52,NONE,no_candidates,
R1687,"lanosteryl oleate transport, ER membrane-lipid particle",NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,e8094af9,NONE,no_candidates,
R886,L-lactate transport,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,909e9368,NONE,no_candidates,
R1811,"1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate transport, cell envelope-ER membrane",NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,1b2028d8,NONE,no_candidates,
R477,IPS phospholipase C,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,fc07c671,NONE,"MNXR101563,MNXR101567,MNXR108101,MNXR121927,MNXR145611,MNXR159687,MNXR195408,MNXR195411,MNXR195412",
R1695,"cerotic acid transport, ER membrane-ER",NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,fc114e60,NONE,no_candidates,
R2153,mannosylinositol phosphorylceramide B (C24)_C54H106NO17P transport,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,3206fe79,NONE,no_candidates,
R1583,"docosanoyl-CoA transport, cytoplasm-ER membrane",NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,4be2323c,NONE,no_candidates,
R951,1-acylglycerophosphocholine exchange,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,7961fa20,NONE,no_candidates,
