metabolite_id,name,candidate_formula,is_lipid,verdict,authoritative_formula,source_url,confidence,note
m1975[C_cy],(S)-Methylmalonate semialdehyde,C4H4O3,no,reject_wrong,C4H6O3,https://www.kegg.jp/entry/C06002,verified,methylmalonate semialdehyde 2 H short
m1808[C_cy],2'-deoxyinosine-5-phosphate_,C10H8N4O7P,no,reject_wrong,C10H13N4O7P,https://pubchem.ncbi.nlm.nih.gov/compound/dimp,verified,2'-deoxyinosine-5'-MP is H-deficient by 5
m1956[C_cy],"3,4-dihydroxymandelate",C8H6O5,no,reject_wrong,C8H8O5,https://www.kegg.jp/entry/C05580,verified,"3,4-dihydroxymandelate is 2 H short"
m1891[C_cy],"D-Glucono-1,5-lactone",C6H12O6,no,reject_wrong,C6H10O6,https://www.kegg.jp/entry/C00198,verified,gluconolactone written as open-chain hexose
m2028[C_er],Hexadecanoic acid,C2H4O2,yes,reject_wrong,C16H32O2,https://www.kegg.jp/entry/C00249,verified,palmitate back-solved to acetate (C2); name encodes C16
m2026[C_cy],Phenylacetic acid,C8H6O2,no,reject_wrong,C8H8O2,https://www.kegg.jp/entry/C07086,verified,phenylacetate 2 H short
m1404[C_cy],quinaldic acid_,C10H7NO3,no,reject_wrong,C10H7NO2,https://www.kegg.jp/entry/C06325,verified,"quinaldate has 2 O, candidate has 3"
m1995[C_cy],"Inositol phosphorylceramide, ceramide-1 (24C), yeast-specific",C4190H8483N100O308P,yes,reject_out_of_scope,,,inferred,"x100 aggregate (N100, ~C4200) IPC pool"
m1996[C_cy],"Inositol phosphorylceramide, ceramide-1 (26C), yeast-specific",C4390H8883N100O308P,yes,reject_out_of_scope,,,inferred,x100 aggregate IPC pool
m1997[C_cy],"Inositol phosphorylceramide, ceramide-2 (24C), yeast-specific",C4190H8483N100O408P,yes,reject_out_of_scope,,,inferred,x100 aggregate IPC pool
m1998[C_cy],"Inositol phosphorylceramide, ceramide-2 (26C), yeast-specific",C4390H8783N100O408P,yes,reject_out_of_scope,,,inferred,x100 aggregate IPC pool
m1999[C_cy],"Inositol phosphorylceramide, ceramide-3 (24C), yeast-specific",C4190H8483N100O508P,yes,reject_out_of_scope,,,inferred,x100 aggregate IPC pool
m2000[C_cy],"Inositol phosphorylceramide, ceramide-3 (26C), yeast-specific",C4390H8883N100O508P,yes,reject_out_of_scope,,,inferred,x100 aggregate IPC pool
m474[C_cy],2-deoxy-D-ribofuranose 1-phosphate_,C5H11O7P,no,fillable,C5H11O7P,https://www.kegg.jp/entry/C00672,verified,
m1816[C_cy],5-hydroxyisourate_,C5H4N4O4,no,fillable,C5H4N4O4,https://www.kegg.jp/entry/C11821,verified,
m1809[C_cy],5-oxoproline_,C5H7NO3,yes,fillable,C5H7NO3,https://www.kegg.jp/entry/C01879,verified,5-oxoproline
m2035[C_cy],Cys-Gly,C5H10N2O3S,no,fillable,C5H10N2O3S,https://www.kegg.jp/entry/C01419,verified,Cys-Gly
m1863[C_va],L-glycine,C2H5NO2,yes,fillable,C2H5NO2,https://www.kegg.jp/entry/C00037,verified,glycine
m2031[C_cy],Mercaptopyruvate,C3H4O3S,no,fillable,C3H4O3S,https://www.kegg.jp/entry/C00957,verified,mercaptopyruvate
m1981[C_cy],Phytosphingosine,C18H39NO3,yes,fillable,C18H39NO3,https://www.kegg.jp/entry/C12144,verified,phytosphingosine
m1889[C_go],UDP-D-galactose,C15H24N2O17P2,no,fillable,C15H24N2O17P2,https://www.kegg.jp/entry/C00052,verified,UDP-D-galactose
m1813[C_cy],cellobiose_,C12H22O11,no,fillable,C12H22O11,https://www.kegg.jp/entry/C00185,verified,cellobiose
m1789[C_cy],decanol_,C10H22O,no,fillable,C10H22O,https://pubchem.ncbi.nlm.nih.gov/compound/1-decanol,verified,decanol
m1814[C_cy],dehydroalanine_,C3H5NO2,no,fillable,C3H5NO2,https://www.kegg.jp/entry/C02218,verified,dehydroalanine
m1827[C_cy],erythrose_,C4H8O4,no,fillable,C4H8O4,https://www.kegg.jp/entry/C01796,verified,erythrose
m1815[C_cy],hydroxypyruvate_,C3H4O4,no,fillable,C3H4O4,https://www.kegg.jp/entry/C00168,verified,hydroxypyruvate
m2020[C_cy],"trans,trans-Farnesyl diphosphate",C15H28O7P2,no,fillable,C15H28O7P2,https://www.kegg.jp/entry/C00448,verified,farnesyl-PP
m1555[C_pe],(R)-3-hydroxy-cis-dodec-5-enoyl-CoA_,C33H54N7O18P3S,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1557[C_pe],(R)-3-hydroxy-cis-hexadec-7-enoyl-CoA_,C37H63N7O18P3S,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1553[C_pe],(R)-3-hydroxy-cis-hexadec-9-enoyl-CoA_,C37H64N7O18P3S,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1556[C_pe],(R)-3-hydroxy-cis-octadec-9-enoyl-CoA_,C39H68N7O18P3S,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
