yali1,yali0,ec,candidate_mnxr,reaction_status,ec_already_in_model
YALI1_A13596g,YALI0A13563g,3.1.4.12,MNXR133196;MNXR133198;MNXR133199;MNXR133201;MNXR147687;MNXR147688;MNXR166011;MNXR177992;MNXR191837;MNXR192104;MNXR192105;MNXR192106,new_reaction,
YALI1_A14079g,YALI0A14234g,6.2.1.12,MNXR107386;MNXR131532;MNXR131533;MNXR131534;MNXR131535;MNXR131536;MNXR132129;MNXR132130;MNXR195680;MNXR195681;MNXR195682;MNXR195945;MNXR195946;MNXR198591;MNXR198592;MNXR198900;MNXR198901;MNXR198902;MNXR198968;MNXR198969,new_reaction,
YALI1_A15105g,YALI0A15103g,6.2.1.12,MNXR107386;MNXR131532;MNXR131533;MNXR131534;MNXR131535;MNXR131536;MNXR132129;MNXR132130;MNXR195680;MNXR195681;MNXR195682;MNXR195945;MNXR195946;MNXR198591;MNXR198592;MNXR198900;MNXR198901;MNXR198902;MNXR198968;MNXR198969,new_reaction,
YALI1_A16618g,YALI0A16610g,3.1.4.12,MNXR133196;MNXR133198;MNXR133199;MNXR133201;MNXR147687;MNXR147688;MNXR166011;MNXR177992;MNXR191837;MNXR192104;MNXR192105;MNXR192106,new_reaction,
YALI1_A17622g,YALI0A17512g,2.4.1.265,MNXR110097;MNXR166705;MNXR197057;MNXR197058,new_reaction,
YALI1_A20370g,YALI0A19426g,1.11.1.25;1.11.1.27,MNXR165016;MNXR165022;MNXR171841;MNXR171843;MNXR192710;MNXR192715,new_reaction,
YALI1_A21509g,YALI0A20482g,2.4.1.198,MNXR109940;MNXR115118;MNXR147741;MNXR147742;MNXR165689;MNXR179718;MNXR188673,new_reaction,
YALI1_B08650g,YALI0B06600g,3.2.1.207,MNXR109971;MNXR109972;MNXR170617;MNXR170618;MNXR183520;MNXR187433,new_reaction,
YALI1_B09090g,YALI0B07007g,1.6.5.2,MNXR101871;MNXR101872;MNXR101876;MNXR101891;MNXR101893;MNXR104922;MNXR104923;MNXR108322;MNXR108448;MNXR109419;MNXR110590;MNXR111019;MNXR111020;MNXR114364;MNXR116079;MNXR116093;MNXR117479;MNXR129914;MNXR130303;MNXR132869;MNXR133773;MNXR134078;MNXR135020;MNXR136518;MNXR143496;MNXR144432;MNXR144731;MNXR144762;MNXR145759;MNXR145766;MNXR168816;MNXR168817;MNXR172482;MNXR172827;MNXR172829;MNXR173518;MNXR175606;MNXR182018;MNXR182019;MNXR182020;MNXR182021;MNXR182022;MNXR182023;MNXR182024;MNXR182025;MNXR182026;MNXR182027;MNXR182028;MNXR182029;MNXR182030;MNXR182031;MNXR182032;MNXR182033;MNXR182034;MNXR182035;MNXR182036;MNXR182037;MNXR182038;MNXR182039;MNXR182040;MNXR182041;MNXR182042;MNXR182043;MNXR182044;MNXR182045;MNXR182046;MNXR182047;MNXR182048;MNXR182049;MNXR182050;MNXR182051;MNXR182052;MNXR182053;MNXR182054;MNXR182055;MNXR182056;MNXR182057;MNXR182058;MNXR182059;MNXR182060;MNXR182061;MNXR182062;MNXR182063;MNXR182064;MNXR182065;MNXR182066;MNXR182067;MNXR182068;MNXR182069;MNXR182070;MNXR182071;MNXR182072;MNXR182073;MNXR182074;MNXR182075;MNXR182076;MNXR182077;MNXR182078;MNXR182079;MNXR182080;MNXR182081;MNXR182082;MNXR182083;MNXR182084;MNXR182085;MNXR182086;MNXR182087;MNXR182418;MNXR182419;MNXR187559;MNXR193930;MNXR193949;MNXR194838;MNXR194839;MNXR194840;MNXR195032;MNXR195033,new_reaction,
YALI1_B09117g,YALI0B07029g,1.6.5.2,MNXR101871;MNXR101872;MNXR101876;MNXR101891;MNXR101893;MNXR104922;MNXR104923;MNXR108322;MNXR108448;MNXR109419;MNXR110590;MNXR111019;MNXR111020;MNXR114364;MNXR116079;MNXR116093;MNXR117479;MNXR129914;MNXR130303;MNXR132869;MNXR133773;MNXR134078;MNXR135020;MNXR136518;MNXR143496;MNXR144432;MNXR144731;MNXR144762;MNXR145759;MNXR145766;MNXR168816;MNXR168817;MNXR172482;MNXR172827;MNXR172829;MNXR173518;MNXR175606;MNXR182018;MNXR182019;MNXR182020;MNXR182021;MNXR182022;MNXR182023;MNXR182024;MNXR182025;MNXR182026;MNXR182027;MNXR182028;MNXR182029;MNXR182030;MNXR182031;MNXR182032;MNXR182033;MNXR182034;MNXR182035;MNXR182036;MNXR182037;MNXR182038;MNXR182039;MNXR182040;MNXR182041;MNXR182042;MNXR182043;MNXR182044;MNXR182045;MNXR182046;MNXR182047;MNXR182048;MNXR182049;MNXR182050;MNXR182051;MNXR182052;MNXR182053;MNXR182054;MNXR182055;MNXR182056;MNXR182057;MNXR182058;MNXR182059;MNXR182060;MNXR182061;MNXR182062;MNXR182063;MNXR182064;MNXR182065;MNXR182066;MNXR182067;MNXR182068;MNXR182069;MNXR182070;MNXR182071;MNXR182072;MNXR182073;MNXR182074;MNXR182075;MNXR182076;MNXR182077;MNXR182078;MNXR182079;MNXR182080;MNXR182081;MNXR182082;MNXR182083;MNXR182084;MNXR182085;MNXR182086;MNXR182087;MNXR182418;MNXR182419;MNXR187559;MNXR193930;MNXR193949;MNXR194838;MNXR194839;MNXR194840;MNXR195032;MNXR195033,new_reaction,
YALI1_B13041g,YALI0B09669g,2.4.1.80,MNXR144056;MNXR152263;MNXR152265;MNXR152266;MNXR152267;MNXR165510;MNXR175355;MNXR177001;MNXR185335;MNXR192368;MNXR192369,new_reaction,
