datum_id	analyte	raw_value	raw_unit	denominator	uncertainty	species	strain	conditions	method	source_id	exact_locator	permitted_conversion	missing_assumptions
DAT-Q-001	CoQ9 extraction yield	0.026	percent	unspecified input basis	not reported	Candida paralipolytica	unreported	unreported	KOH/ethanol hydrolysis and hexane extraction	SRC-QD-001	PubMed abstract	false; conditional dry-weight calculation only: 0.327 umol/gDCW	whether denominator is dry cells; strain; medium; recovery; completeness
DAT-Q-002	CoQ9 in extracted oil	0.2-0.3	percent w/w	extracted oil	not reported	Yarrowia lipolytica	ATCC 20362	wild-type cultivation details incomplete	HPLC-DAD against authentic CoQ9	SRC-QC-004	Example 2	yes to 0.002515-0.003773 mmol/g oil using MW 795.2; no conversion to gDCW	matched oil fraction per DCW; extraction recovery; replicates; uncertainty
DAT-Q-003	Q9 associated with purified complex I	0.2-0.4	mol/mol	purified complex I after proteolysis	two preparations; no formal interval	Yarrowia lipolytica	PIPO	modified YPD; 2.5 percent glucose; overnight; 27 C	RP-HPLC at 275 nm	SRC-QC-002	Results; Fig.1	retain original occupancy unit only	in vivo occupancy; purification loss; whole-cell pool
DAT-Q-004	Q9 associated with purified complex I	1.9	mol/mol	LMNG-purified complex I	not used as physiological uncertainty	Yarrowia lipolytica	GB30 delta-ST1	purified mitochondrial complex I	quantitative mass spectrometry and cryo-EM	SRC-QD-002	lipid/Q9 quantitation section	retain original occupancy unit only	in vivo occupancy; preparation effect; whole-cell pool
DAT-Q-005	lipids associated with purified complex I	82.8	mol/mol	LMNG-purified complex I	not used as physiological uncertainty	Yarrowia lipolytica	GB30 delta-ST1	purified mitochondrial complex I	quantitative mass spectrometry	SRC-QD-002	lipid/Q9 quantitation section	retain original occupancy unit only	in vivo lipid annulus and preparation recovery
DAT-E-001	YALI1C26017g COQ1 candidate fitness score	-6.0466	fitness score	gene-level activity-corrected Cas9 screen	SD 1.1478	Yarrowia lipolytica	PO1f	SD-Leu; 2 percent glucose; 30 C; 4 d	CRISPR-Cas9 screen	SRC-QD-003	public Table S3/S1	no conversion to metabolite pool or flux	guide-training classification and relation of fitness to biomass flux
DAT-E-002	YALI1C26017g COQ1 candidate Cas9 fitness	-6.2566	fitness score	gene-level acCRISPR	FDR 3.49e-17	Yarrowia lipolytica	PO1f	glucose essentiality screen	Cas9 acCRISPR	SRC-QD-005	public essentiality table	no conversion to metabolite pool or flux	fitness-to-pool mapping
DAT-E-003	YALI1C26017g COQ1 candidate Cas12a fitness	-1.3741	fitness score	gene-level acCRISPR	FDR 0.521	Yarrowia lipolytica	PO1f	glucose essentiality screen	Cas12a acCRISPR	SRC-QD-005	public essentiality table	no conversion to metabolite pool or flux	platform discordance and fitness-to-pool mapping
DAT-E-004	YALI1F08349g COQ2 candidate fitness score	-4.0385	fitness score	gene-level activity-corrected Cas9 screen	SD 1.7900	Yarrowia lipolytica	PO1f	SD-Leu; 2 percent glucose; 30 C; 4 d	CRISPR-Cas9 screen	SRC-QD-003	public Table S3/S1	no conversion to metabolite pool or flux	guide-training classification and fitness-to-pool mapping
DAT-E-005	YALI1F08349g COQ2 candidate Cas9 fitness	-2.1805	fitness score	gene-level acCRISPR	FDR 0.598	Yarrowia lipolytica	PO1f	glucose essentiality screen	Cas9 acCRISPR	SRC-QD-005	public essentiality table	no conversion to metabolite pool or flux	platform discordance and fitness-to-pool mapping
DAT-E-006	YALI1F08349g COQ2 candidate Cas12a fitness	-3.1760	fitness score	gene-level acCRISPR	FDR 5.32e-9	Yarrowia lipolytica	PO1f	glucose essentiality screen	Cas12a acCRISPR	SRC-QD-005	public essentiality table	no conversion to metabolite pool or flux	platform discordance and fitness-to-pool mapping
DAT-E-007	YALI1B20835g COQ3 candidate fitness score	-2.7695	fitness score	gene-level activity-corrected Cas9 screen	SD 1.6326	Yarrowia lipolytica	PO1f	SD-Leu; 2 percent glucose; 30 C; 4 d	CRISPR-Cas9 screen	SRC-QD-003	public Table S3/S1	no conversion to metabolite pool or flux	residual activity; classification threshold; fitness-to-pool mapping
DAT-E-008	YALI1B20835g COQ3 candidate Cas9 fitness	-2.5339	fitness score	gene-level acCRISPR	FDR 0.237	Yarrowia lipolytica	PO1f	glucose essentiality screen	Cas9 acCRISPR	SRC-QD-005	public essentiality table	no conversion to metabolite pool or flux	residual activity; classification threshold; fitness-to-pool mapping
DAT-E-009	YALI1B20835g COQ3 candidate Cas12a fitness	-0.8617	fitness score	gene-level acCRISPR	FDR 1	Yarrowia lipolytica	PO1f	glucose essentiality screen	Cas12a acCRISPR	SRC-QD-005	public essentiality table	no conversion to metabolite pool or flux	residual activity; classification threshold; fitness-to-pool mapping
