# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	1230	1648	-						94582248	YALI1_A00014g	419		partial
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	1230	1648	-	XM_068281592.1		XP_068137693.1	uncharacterized protein		94582248	YALI1_A00014g	354	354	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	1230	1648	-	XP_068137693.1		XM_068281592.1	uncharacterized protein		94582248	YALI1_A00014g	354	117	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	1806	2173	-						94582249	YALI1_A00019g	368		partial
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	1806	2173	-	XM_068281593.1		XP_068137694.1	uncharacterized protein		94582249	YALI1_A00019g	321	321	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	1806	2173	-	XP_068137694.1		XM_068281593.1	uncharacterized protein		94582249	YALI1_A00019g	321	106	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	3285	3920	+						94582250	YALI1_A00032g	636		partial
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	3285	3920	+	XM_068281594.1		XP_068137695.1	uncharacterized protein		94582250	YALI1_A00032g	636	636	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	3285	3920	+	XP_068137695.1		XM_068281594.1	uncharacterized protein		94582250	YALI1_A00032g	636	211	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	5868	8531	+						2906259	YALI1_A00058g	2664		partial;old_locus_tag=YALI2_A00002g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	5868	8531	+	XM_499603.3		XP_499603.2	uncharacterized protein		2906259	YALI1_A00058g	2664	2664	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	5868	8531	+	XP_499603.2		XM_499603.3	uncharacterized protein		2906259	YALI1_A00058g	2664	887	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	10299	12134	+						2906265	YALI1_A00102g	1836		partial;old_locus_tag=YALI2_A00003g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	10299	12134	+	XM_499604.3		XP_499604.1	uncharacterized protein		2906265	YALI1_A00102g	1836	1836	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	10299	12134	+	XP_499604.1		XM_499604.3	uncharacterized protein		2906265	YALI1_A00102g	1836	611	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1A	NC_090770.1	13266	13647	-						94582251	YALI1_A00135g	382		partial
