source_id	strand	full_citation	title	year	journal_or_repository	doi	pmid	url	source_type	peer_reviewed	species	strain	conditions	method	exact_locator	directness	quality_grade	limitations	verification_status	retrieved_date
SRC-QC-001	chain_chemistry	Yamada Y et al. J Gen Appl Microbiol 22:325-337	Coenzyme Q system in the classification of the ascosporogenous yeast genera Debaryomyces, Saccharomyces, Kluyveromyces, and Endomycopsis	1976	Journal of General and Applied Microbiology	10.2323/jgam.22.325		https://www.jstage.jst.go.jp/article/jgam1955/22/6/22_6_325/_article/-char/en	primary_research	true	Endomycopsis lipolytica (Yarrowia lipolytica historical name)	CBS 6124	24-36 h; 25-30 C; detailed medium referred to prior method	whole-cell extraction; partial purification; reversed-phase paper chromatography; study-level mass spectrometry	Materials and Methods pp.326; Table 2 pp.330-331; Results p.334-335	direct_species	A-	Historical method; table supports dominant Q-system rather than absolute exclusion of trace homologues	independent_audit_opened	2026-08-06
SRC-QC-002	chain_chemistry;demand	Drose S, Zwicker K, Brandt U. BBA 1556:65-72	Full recovery of the NADH:ubiquinone activity of complex I from Yarrowia lipolytica by addition of phospholipids	2002	BBA Bioenergetics	10.1016/S0005-2728(02)00307-9	12351219	https://www.sciencedirect.com/science/article/pii/S0005272802003079	primary_research	true	Yarrowia lipolytica	PIPO	modified YPD; 2.5% glucose; overnight; 27 C	mitochondrial complex-I purification; extraction; RP-HPLC at 275 nm	Methods 2.2-2.3; Results Fig.1 and ubiquinone-content paragraphs	direct_species	A-	Purified complex-I sample; retention-time identity; not whole-cell abundance or biosynthetic localization	independent_audit_opened	2026-08-06
SRC-QC-003	chain_chemistry;demand	Saeed N et al. mBio 15:e00342-24	The isoprenyl chain length of coenzyme Q mediates the nutritional resistance of fungi to amoeba predation	2024	mBio	10.1128/mbio.00342-24	38747615	https://journals.asm.org/doi/10.1128/mbio.00342-24	primary_research	true	Yarrowia lipolytica coding sequence in Saccharomyces cerevisiae	COQ1YL heterologous strain	SC medium; 2% glucose or 4% glycerol; 30 C	locus replacement; chimeric targeting peptide; TLC; RP-HPLC; growth assay	Methods pp.2-4; Results pp.6-7; Figs.5-6	heterologous_functional	A	Native Yarrowia N terminus removed; does not validate native localization or native pool amount	independent_audit_opened	2026-08-06
SRC-QC-004	chain_chemistry;demand	Ye RW. US20090142322A1 / US8815567B2	Coenzyme Q10 production in a recombinant oleaginous yeast	2009	Google Patents			https://patents.google.com/patent/US20090142322A1/en	patent_grey	false	Yarrowia lipolytica	ATCC 20362 and engineered derivatives	culture conditions incomplete for wild-type quantitative example	oil extraction; HPLC-DAD against CoQ9 standard	Example 2 and CoQ9 calculation paragraphs	direct_species_grey	C	Oil-normalized; no matched DCW denominator, recovery, replicates, or uncertainty; family members not independent	independent_audit_opened	2026-08-06
SRC-QC-005	chain_chemistry	Bailey RB, Madden KT, Trueheart J. US20090324800A1	Production of quinone derived compounds in oleaginous yeast and fungi	2009	Google Patents			https://patents.google.com/patent/US20090324800A1/en	patent_grey	false	Yarrowia lipolytica	engineered strains	engineered bacterial decaprenyl-synthase replacements	genetic engineering; quinone analysis	COQ1 replacement and CoQ10-production examples	direct_species_grey	C	Engineered Q10 does not establish native Q10; assayed strains used heterologous targeting constructs	independent_audit_opened	2026-08-06
SRC-QC-006	chain_chemistry;gpr	Ozeir M et al. Chem Biol 18:1134-1142	Coenzyme Q biosynthesis: Coq6 is required for the C5-hydroxylation reaction and substrate analogs rescue Coq6 deficiency	2011	Chemistry and Biology	10.1016/j.chembiol.2011.07.008	21944752	https://www.sciencedirect.com/science/article/pii/S1074552111002407	primary_research	true	Saccharomyces cerevisiae	coq6 mutants	defined precursor-rescue conditions	genetics; metabolite analysis; chemical bypass	Abstract; mutant/rescue Results; relevant figures	comparative_mechanism	A-	Not Yarrowia; supports conserved step chemistry but not Yarrowia locus or compartment	independent_audit_opened	2026-08-06
SRC-QC-007	chain_chemistry;gpr	He CH et al. BBA 1841:630-644	Coenzyme Q supplementation or over-expression of the yeast Coq8 putative kinase stabilizes multi-subunit Coq polypeptide complexes in yeast coq null mutants	2014	BBA Molecular and Cell Biology of Lipids	10.1016/j.bbalip.2013.12.017	24406904	https://pmc.ncbi.nlm.nih.gov/articles/PMC3959571/	primary_research	true	Saccharomyces cerevisiae	coq mutants	mutant- and supplementation-dependent	fractionation; carbonate extraction; protease protection; complex analysis; rescue	Fig.2 and sub-mitochondrial localization Results; Figs.4-5 and 8-11 for complex behavior	comparative_mechanism	A-	Not Yarrowia; mutant-specific assemblies do not directly define native Yarrowia GPR	independent_audit_opened	2026-08-06
SRC-QC-008	chain_chemistry;gpr	Subramanian K et al. J Cell Biol 218:1353-1369	Coenzyme Q biosynthetic proteins assemble in a substrate-dependent manner into domains at ER-mitochondria contacts	2019	Journal of Cell Biology	10.1083/jcb.201808044	30674579	https://pmc.ncbi.nlm.nih.gov/articles/PMC6446851/	primary_research	true	Saccharomyces cerevisiae	multiple tagged and deletion strains	substrate-flux and rescue conditions	live-cell imaging; genetics; domain assembly	Figs.1 and 3-6; Results on substrate-dependent domains and ER-mitochondria contacts	comparative_mechanism	A	Not Yarrowia; constrains mechanism but cannot prove lineage-specific localization	independent_audit_opened	2026-08-06
SRC-QD-001	demand	Kogan LM et al. Prikl Biokhim Mikrobiol 21:78-79	Ubiquinone-9 and ergosterol from Candida paralipolytica yeasts	1985	Prikladnaia Biokhimiia i Mikrobiologiia		3983092	https://pubmed.ncbi.nlm.nih.gov/3983092/	primary_research_abstract_only	true	Candida paralipolytica (historical Yarrowia name)	unreported	unreported	KOH/ethanol hydrolysis; hexane extraction	PubMed abstract only	direct_species	B-	0.026 percent yield denominator, strain, medium, dry/wet basis, and recovery are not reported in accessible abstract	independent_audit_bibliographic_only	2026-08-06
SRC-QD-002	demand	Parey K et al. Sci Adv 5:eaax9484	High-resolution cryo-EM structures of respiratory complex I: Mechanism, assembly, and disease	2019	Science Advances	10.1126/sciadv.aax9484		https://pmc.ncbi.nlm.nih.gov/articles/PMC6905873/	primary_research	true	Yarrowia lipolytica	GB30 delta-ST1	LMNG-purified complex I	quantitative mass spectrometry; cryo-EM	lipid/Q9 quantitation and Q-channel structure sections	direct_species	A	Purified complex, not whole-cell pool; occupancy depends on preparation	independent_audit_opened	2026-08-06
