yali1,yali0,geneid,metab_pathways,ec,verdict,in_model
YALI1_A00579r,YALI0A00462r,2906349,00970,,metabolic,no
YALI1_A00601g,YALI0A00506g,2905928,,2.7.11.1,metabolic,no
YALI1_A00801g,YALI0A00638g,2905995,,2.1.1.244,metabolic,no
YALI1_A00921r,YALI0A00715r,2905988,00970,,metabolic,no
YALI1_A01173g,YALI0A00891g,2905898,,3.1.3.16,metabolic,no
YALI1_A01198g,YALI0A00913g,2906289,00230;00240;01100;01110;01232,3.6.1.5,metabolic,no
YALI1_A01394g,YALI0A01023g,2906594,,7.2.2.3,metabolic,no
YALI1_A01642r,YALI0A01177r,2906070,00970,,metabolic,no
YALI1_A01654r,YALI0A01221r,2906598,00970,,metabolic,no
YALI1_A01689r,YALI0A01287r,2906068,00970,,metabolic,no
YALI1_A01766g,YALI0A01353g,2906152,,5.6.2.3,metabolic,no
YALI1_A01824g,YALI0A01419g,2906039,00190;01100,,metabolic,no
YALI1_A01905g,YALI0A01485g,2906035,,1.6.99.1,metabolic,no
YALI1_A02096g,YALI0A01760g,2905799,,6.3.4.19,metabolic,no
YALI1_A02138r,YALI0A01804r,2906553,00970,,metabolic,no
YALI1_A02318r,YALI0A01914r,2906579,00970,,metabolic,no
YALI1_A02561g,YALI0A02178g,2906574,,3.1.26.5,metabolic,no
YALI1_A03242r,YALI0A02739r,2905896,00970,,metabolic,no
YALI1_A03437r,YALI0A03047r,2905961,00970,,metabolic,no
YALI1_A03529r,YALI0A03157r,2906385,00970,,metabolic,no
YALI1_A03624g,YALI0A03245g,2906467,,3.1.3.16,metabolic,no
YALI1_A03632r,YALI0A03311r,2905955,00970,,metabolic,no
YALI1_A03643r,YALI0A03355r,2905919,00970,,metabolic,no
YALI1_A03732r,YALI0A03465r,2906048,00970,,metabolic,no
YALI1_A04071g,YALI0A03861g,2906215,,2.3.1.48,metabolic,no
YALI1_A04178g,YALI0A03927g,2906212,,5.6.2.3,metabolic,no
YALI1_A04338r,YALI0A04015r,2906188,00970,,metabolic,no
YALI1_A04359r,YALI0A04081r,2906562,00970,,metabolic,no
YALI1_A04398r,YALI0A04147r,2906119,00970,,metabolic,no
YALI1_A04439r,YALI0A04213r,2906226,00970,,metabolic,no
YALI1_A04446r,YALI0A04235r,2906243,00970,,metabolic,no
YALI1_A04602r,YALI0A04389r,2906593,00970,,metabolic,no
YALI1_A04709r,YALI0A04565r,2906339,00970,,metabolic,no
YALI1_A04939g,YALI0A04807g,90949335,,3.1.26.4,metabolic,no
YALI1_A05052g,YALI0A04939g,2906531,,5.6.2.7,metabolic,no
YALI1_A05186r,YALI0A05049r,2905805,00970,,metabolic,no
YALI1_A05189r,YALI0A05093r,2905835,00970,,metabolic,no
YALI1_A05335g,YALI0A05247g,2905841,,2.7.11.25,metabolic,no
YALI1_A05407g,YALI0A05357g,2905954,,3.1.3.16,metabolic,no
YALI1_A05473g,YALI0A05401g,2905945,,2.7.7.7,metabolic,no
YALI1_A05500r,YALI0A05445r,2905950,00970,,metabolic,no
YALI1_A05505r,YALI0A05489r,2905933,00970,,metabolic,no
YALI1_A05637r,YALI0A05599r,2905918,00970,,metabolic,no
YALI1_A05639r,YALI0A05621r,2905925,00970,,metabolic,no
YALI1_A05684r,YALI0A05687r,2906139,00970,,metabolic,no
YALI1_A05694r,YALI0A05731r,2906126,00970,,metabolic,no
YALI1_A05718r,YALI0A05819r,2906120,00970,,metabolic,no
YALI1_A05723r,YALI0A05863r,2905769,00970,,metabolic,no
YALI1_A05933r,YALI0A06127r,2905981,00970,,metabolic,no
YALI1_A05953r,YALI0A06193r,2905970,00970,,metabolic,no
YALI1_A06020r,YALI0A06237r,2905985,00970,,metabolic,no
YALI1_A06024r,YALI0A06259r,2906525,00970,,metabolic,no
YALI1_A06081r,YALI0A06391r,2906146,00970,,metabolic,no
YALI1_A06099g,YALI0A06435g,2906523,,3.4.21.48,metabolic,no
YALI1_A06169g,YALI0A06523g,2906024,,3.1.26.4,metabolic,no
YALI1_A06190r,YALI0A06545r,2906099,00970,,metabolic,no
YALI1_A06416g,YALI0A06743g,2905868,00480;01100,2.5.1.18,metabolic,no
YALI1_A06594g,YALI0A06908g,2906499,,3.1.3.84,metabolic,no
YALI1_A06710r,YALI0A07040r,2905856,00970,,metabolic,no
YALI1_A06883r,YALI0A07150r,2906109,00970,,metabolic,no
YALI1_A06929r,YALI0A07271r,2905861,00970,,metabolic,no
YALI1_A06936r,YALI0A07293r,2905865,00970,,metabolic,no
YALI1_A06939r,YALI0A07315r,2906037,00970,,metabolic,no
YALI1_A06957r,YALI0A07359r,2906096,00970,,metabolic,no
YALI1_A07038r,YALI0A07469r,2906097,00970,,metabolic,no
YALI1_A07290g,YALI0A07733g,2906089,,5.3.3.21,metabolic,no
YALI1_A07425r,YALI0A07953r,2906112,00970,,metabolic,no
YALI1_A07649g,YALI0A08077g,2905885,,3.1.3.16,metabolic,no
YALI1_A07712g,YALI0A08129g,2905880,,1.14.99.29,metabolic,no
YALI1_A08027r,YALI0A08283r,2905858,00970,,metabolic,no
