audit_id	claim_id	atomic_claim	sources_independently_opened	exact_locator_verified	verdict	materiality	corrective_wording
AUD-001	CLM-ID-001	YALI1A08781g identity chain is internally consistent	SRC-DB-001	UniProt F2Z6J4; KEGG yli:2906060; NCBI/RefSeq; YALI crosswalk	supported	material	The chain identifies one locus but does not verify COQ6 function
AUD-002	CLM-ID-002	YALI1B20527g identity chain is internally consistent	SRC-DB-001	UniProt Q6CEH1; KEGG yli:2906959; NCBI/RefSeq; YALI crosswalk	supported	material	Do not present ABC1/COQ8 as an experimentally established Yarrowia gene name
AUD-003	CLM-ID-003	YALI1F34675g identity chain is internally consistent	SRC-DB-001	UniProt Q6C071; KEGG yli:2907842; NCBI/RefSeq; YALI crosswalk	supported	material	Do not present COQ9 as an experimentally established Yarrowia gene name
AUD-004	CLM-C6-001	YALI1A08781g is native Yarrowia COQ6	SRC-DB-001	UniProt/KEGG automated annotation; no native biochemical or genetic study located	partially_supported	material	Use COQ6 candidate; native function unverified
AUD-005	CLM-AS-001	YALI1B20527g is native Yarrowia COQ8	SRC-DB-001;SRC-AS-001	Automated annotation; no direct Yarrowia perturbation located	partially_supported	material	Use COQ8 candidate; native function unverified
AUD-006	CLM-AS-003	YALI1F34675g is native Yarrowia COQ9	SRC-DB-001;SRC-AS-003;SRC-AS-006	Automated annotation; no direct Yarrowia interaction or knockout-metabolomics study located	partially_supported	material	Use COQ9 candidate; native function unverified
AUD-007	CLM-C6-002	R39 C5 head-group chemistry is compatible with COQ6	SRC-C6-002;SRC-C6-004;SRC-C6-006	Ozeir 2011 Fig. 2, 3, 5; Ismail Results/Discussion; Nicoll Fig. 2	partially_supported	material	Comparative C5 regiochemistry is supported; exact carboxylated-substrate order remains unresolved and direct R39 substrate evidence comes from a reconstructed short-chain system
AUD-008	CLM-C6-003	Current cytosolic R39 and R969/R808 shuttle are not biologically supported and conflict with comparator topology	SRC-C6-001	Gin 2003 Fig. 7b-e; no Yarrowia shuttle source located	supported	critical	Do not transfer comparator GPR evidence into the current cytosolic reaction; open a topology case
AUD-009	CLM-C6-005	Current R39 equation represents the experimentally observed monooxygenase coupling	SRC-C6-004;SRC-C6-005;SRC-C6-006	Ismail Fig. 1/S2 and Results; Gonzalez Fig. 7A-D; Nicoll Fig. 2	contradicted	critical	R39 is a balanced lumped net reaction, but it does not represent the ferredoxin/reductase electron chain and therefore does not validate a complete mechanistic GPR
AUD-010	CLM-C6-007	COQ6 directly generates the oxidized quinone encoded by R19	SRC-C6-006	Nicoll 2024 Fig. 4	contradicted	critical	The direct product is a hydroquinone; R19 includes an additional two-electron oxidation
AUD-011	CLM-C6-008	Native yeast COQ6 is absolutely required for the C1/R19 step	SRC-C6-002;SRC-C6-003;SRC-C6-006	Ozeir 2011 Fig. 2/5; Ozeir 2015 Fig. 1 and Discussion; Nicoll Discussion	contradicted	critical	C1 modification can occur without Coq6 in yeast; reconstructed animal dual function does not establish a Yarrowia binary dependency
AUD-012	CLM-AS-001	COQ8 has an important pathway-level role	SRC-AS-001;SRC-AS-002;SRC-C6-006	Reidenbach Fig. 6C-G; Xie results; Nicoll Fig. 6	supported	material	Supports pathway-level regulation and streamlining, not direct atom transfer
AUD-013	CLM-AS-002	COQ8 is absolutely required for a reviewed individual catalytic reaction	SRC-C6-006	Nicoll Extended Data Fig. 8	contradicted	critical	The source states COQ8 is not strictly essential for individual catalytic steps; this does not mean biological COQ8 is unimportant
AUD-014	CLM-AS-003	COQ9 is a lipid-binding COQ7-associated accessory	SRC-AS-003;SRC-AS-006;SRC-AS-007;SRC-AS-008	Hsieh Fig. 1/3-5; Lohman 2014 Fig. 6; Lohman 2019 Fig. 5-6; Manicki Fig. 3-4	supported	material	Supports interaction and substrate presentation, not an independent atom-changing reaction
AUD-015	CLM-AS-004	COQ9 is absolutely required for the COQ7/R695 reaction	SRC-AS-002;SRC-C6-006	Xie Fig. 8; Nicoll Fig. 5b	contradicted	critical	Cell context shows a strong block, but purified COQ7 catalyses without COQ9 and COQ9 gives about 1.5-fold enhancement; no default binary AND
AUD-016	CLM-QP-001	Yarrowia has Q9 as a principal CoQ homolog and a nonzero physical pool	SRC-QP-001;SRC-QP-002;SRC-QP-003	Yamada Methods p.326/Table 2/pp.334-335; Kogan PubMed record; patent Example 2	supported	material	Supports Q9 identity and presence only
AUD-017	CLM-QP-002	Target-condition whole-cell total Q9+Q9H2 c_Q was located	SRC-QP-001;SRC-QP-002;SRC-QP-003;SRC-QP-004;SRC-QP-005;SRC-QP-007	Yamada; Kogan record; patent Example 2 lines 2769-2785; Dröse Methods 2.2-2.3/Fig. 1; Parey second-Q-site section/Fig. S4D/Table S3; Schultz Table 3	unverified	critical	No qualifying W29/CLIB89/PO1f SD-Leu mmol/gDCW value; oil fraction and purified-complex occupancy are not c_Q
AUD-018	CLM-QP-003	Yarrowia CoQ9 molecular k_deg was located	SRC-QP-010	Target-species turnover search; plant comparator only	unverified	critical	Do not substitute growth dilution, plant half-life or another species value for Yarrowia molecular degradation
AUD-019	CLM-DEC-001;CLM-DEC-003	This review authorizes a new runtime mapping or EGC	AUD-007;AUD-008;AUD-009;AUD-010;AUD-011;AUD-013;AUD-015;AUD-017;AUD-018	All operation-specific gates independently reviewed	supported	critical	The supported statement is the negative decision: the approved mapping set is empty, so do not run a mapped counterfactual and do not create an EGC
