model_gene,yali1_s2,yali0,category,n_reactions
YALI1D30866g,YALI1_D30866g,,CLIB89_only,4
YALI1D36215g,YALI1_D36215g,,CLIB89_only,1
YALI1A00309g,YALI1_A00309g,YALI0A00264g,has_YALI0,1
YALI1A00538g,YALI1_A00538g,YALI0A00418g,has_YALI0,1
YALI1A00661g,YALI1_A00661g,YALI0A00528g,has_YALI0,3
YALI1A01577g,YALI1_A01577g,YALI0A01111g,has_YALI0,1
YALI1A01602g,YALI1_A01602g,YALI0A01133g,has_YALI0,1
YALI1A02198g,YALI1_A02198g,YALI0A01870g,has_YALI0,1
YALI1A02335g,YALI1_A02335g,YALI0A01958g,has_YALI0,1
YALI1A02653g,YALI1_A02653g,YALI0A02244g,has_YALI0,1
YALI1A02775g,YALI1_A02775g,YALI0A02310g,has_YALI0,1
YALI1A02974g,YALI1_A02974g,YALI0A02453g,has_YALI0,2
YALI1A03069g,YALI1_A03069g,YALI0A02541g,has_YALI0,4
YALI1A03210g,YALI1_A03210g,YALI0A02717g,has_YALI0,1
YALI1A03322g,YALI1_A03322g,YALI0A02915g,has_YALI0,1
YALI1A03512g,YALI1_A03512g,YALI0A03135g,has_YALI0,3
YALI1A04817g,YALI1_A04817g,YALI0A04675g,has_YALI0,4
YALI1A05116g,YALI1_A05116g,YALI0A04983g,has_YALI0,7
YALI1A05459g,YALI1_A05459g,YALI0A05379g,has_YALI0,1
YALI1A06229g,YALI1_A06229g,YALI0A06589g,has_YALI0,1
YALI1A06361g,YALI1_A06361g,YALI0A06655g,has_YALI0,11
YALI1A06453g,YALI1_A06453g,YALI0A06787g,has_YALI0,7
YALI1A06640g,YALI1_A06640g,YALI0A06974g,has_YALI0,1
YALI1A06873g,YALI1_A06873g,YALI0A07142g,has_YALI0,1
YALI1A07014g,YALI1_A07014g,YALI0A07447g,has_YALI0,3
YALI1A07103g,YALI1_A07103g,YALI0A07579g,has_YALI0,3
YALI1A07575g,YALI1_A07575g,YALI0A08041g,has_YALI0,5
YALI1A07887g,YALI1_A07887g,YALI0A08217g,has_YALI0,7
YALI1A08512g,YALI1_A08512g,YALI0A08668g,has_YALI0,1
YALI1A08546g,YALI1_A08546g,YALI0A08734g,has_YALI0,1
YALI1A08672g,YALI1_A08672g,YALI0A08998g,has_YALI0,2
YALI1A08781g,YALI1_A08781g,YALI0A09042g,has_YALI0,5
YALI1A09121g,YALI1_A09121g,YALI0A09427g,has_YALI0,2
YALI1A09408g,YALI1_A09408g,YALI0A09636g,has_YALI0,1
YALI1A09553g,YALI1_A09553g,YALI0A09768g,has_YALI0,1
