claim_id	strand	atomic_claim	source_ids	evidence_type	target_match	verdict	confidence	model_or_runtime_consequence
CLM-LOCAL-001	model	The frozen model contains a balanced CoQ9 route; R39/R19 have empty GPRs; COQ8/COQ9 candidates have no reaction associations	SRC-LOCAL-001	direct model observation	current model and context	supported	high	Defines the audited target only
CLM-EXP-001	fitness	The experimental fitness score is log2 normalized guide-abundance change, so 2^FS is guide retention and not KO/WT growth	SRC-EXP-001	direct experimental-method interpretation	PO1f SD-Leu assays	supported	high	Keep fitness and model growth scales separate
CLM-EXP-002	fitness	Published essential calls match assay-specific q<0.05; empirical boundary is about -2.918 for Cas9 and -1.855 for Cas12a	SRC-EXP-001	local verification of published table	PO1f SD-Leu assays	supported	high	Use paper calls; boundaries are descriptive, not biological growth cutoffs
CLM-SIM-001	model	All nine canonical PO1f SD-Leu knockouts have KO/WT approximately 1 and are nonessential at 1/5/10/15 percent	SRC-LOCAL-001	direct targeted computation	current B-group model; Gurobi	supported	high	Shows missing modeled net demand/dependency; does not refute biological essentiality
CLM-ID-001	identity	YALI1A08781g maps to YALI0A09042g, YALI2_A00555g, NCBI 2906060, XP_499891.1 and UniProt F2Z6J4	SRC-DB-001	identifier crosswalk	Yarrowia locus	supported	high	Confirms one locus only; does not verify COQ6 function
CLM-ID-002	identity	YALI1B20527g maps to YALI0B15664g, YALI2_C00441g, NCBI 2906959, XP_500941.1 and UniProt Q6CEH1	SRC-DB-001	identifier crosswalk	Yarrowia locus	supported	high	Confirms one locus only; does not verify COQ8 function
CLM-ID-003	identity	YALI1F34675g maps to YALI0F27313g, YALI2_E00771g, NCBI 2907842, XP_505941.3 and UniProt Q6C071	SRC-DB-001	identifier crosswalk	Yarrowia locus	supported	high	Confirms one locus only; does not verify COQ9 function
CLM-C6-001	COQ6	YALI1A08781g is the leading Yarrowia COQ6-family candidate	SRC-DB-001	identity and automated family annotation	Yarrowia locus	partially_supported	medium	Identity candidate only; native function unverified
CLM-C6-002	COQ6	COQ6 catalysis is compatible with the C5 regiochemistry represented by the R39 head-group change	SRC-C6-001;SRC-C6-002;SRC-C6-003;SRC-C6-006	cross-species genetics, intermediates, rescue and reconstitution	comparator/reconstructed chemistry	partially_supported	medium_high	C5 regiochemistry is supported; exact carboxylated-substrate order and Yarrowia reaction remain unresolved
CLM-C6-003	COQ6	The current cytosolic R39 and R969/R808 hydrophobic-intermediate shuttle are biologically supported	SRC-C6-001	cross-species localization versus model topology	Yarrowia/current compartments	unverified	low	Topology case blocks binary runtime GPR
CLM-C6-004	COQ6	Yeast Coq6 is matrix-facing at the mitochondrial inner membrane	SRC-C6-001	fractionation, protection and extraction	Saccharomyces cerevisiae	supported	high	Conflicts with current cytosolic R39
CLM-C6-005	COQ6	Coq6 binds FAD and uses a ferredoxin/reductase electron-transfer chain rather than NAD(P)H alone	SRC-C6-004;SRC-C6-005;SRC-C6-006	biochemistry and reconstitution	comparator/reconstructed systems	supported	medium_high	Current R39 formal 0.5 O2 equation omits mechanistic electron supply; Yarrowia partners unverified
CLM-C6-006	COQ6	Native Yarrowia YALI1A08781g catalysis and localization have direct experimental validation	SRC-C6-001;SRC-C6-002;SRC-C6-003;SRC-C6-006	bounded direct-species search	Yarrowia	not_located	low	No formal or runtime GPR authorization
CLM-C6-007	COQ6	COQ6 directly produces the oxidized quinone encoded as the R19 product	SRC-C6-003;SRC-C6-006	exact product/redox comparison	current R19 chemistry	contradicted	high	R19 cannot inherit a COQ6 GPR as encoded
CLM-C6-008	COQ6	Native yeast COQ6 is absolutely required for the C1 hydroxylation near R19	SRC-C6-003;SRC-C6-006	comparative genetics versus reconstructed biochemistry	native yeast/Yarrowia dependency	contradicted_or_unresolved	medium_high	Animal reconstructed dual activity cannot establish a Yarrowia binary dependency
CLM-AS-001	COQ8	COQ8 is an ATPase/kinase-like pathway accessory rather than a generic atom-changing enzyme	SRC-AS-001;SRC-AS-002;SRC-C6-006	acute inhibition, ATPase assays, reconstitution and rescue	comparative systems	supported	high_for_accessory_identity	Do not assign COQ8 as a direct catalyst
CLM-AS-002	COQ8	COQ8 is absolutely required for any one of R39/R715/R40/R19/R18/R695/R385	SRC-AS-001;SRC-AS-002;SRC-C6-006	reaction-resolution audit	current reaction set	contradicted	high	Reconstitution reports COQ8 is not strictly essential for individual catalytic steps; no binary runtime AND
CLM-AS-003	COQ9	COQ9 is a lipid-binding/substrate-presenting synthome accessory that interacts with COQ7 and other Coq proteins	SRC-AS-003;SRC-AS-005;SRC-AS-006;SRC-AS-007;SRC-AS-008	co-IP, structure, binding and mutant studies	comparative systems	supported	high_for_accessory_identity	Do not assign COQ9 as an atom-changing catalyst
CLM-AS-004	COQ9	COQ9 is absolutely required for the COQ7/R695 chemical step	SRC-AS-002;SRC-C6-006;SRC-AS-007;SRC-AS-008	cell perturbation versus purified omission/reconstitution	cross-system dependency	contradicted_as_universal_binary_dependency	high	Cell context shows a strong block, but purified COQ7 remains active without COQ9; no default binary AND
CLM-AS-005	COQ9	COQ9 is absolutely required for R39/R19/R715/R40/R18/R385	SRC-AS-003;SRC-AS-004;SRC-AS-005;SRC-AS-006;SRC-AS-007;SRC-AS-008	reaction-specific evidence audit	current reaction set	unsupported	medium_high	No binary runtime AND
CLM-AS-006	synthome	A dynamic CoQ synthome exists in comparator systems	SRC-AS-003;SRC-AS-005;SRC-AS-009;SRC-C6-006	physical association, imaging and reconstitution	comparative systems	supported	high	Does not imply identical repeated AND rules
CLM-AS-007	synthome	Yarrowia COQ8/COQ9 reaction-specific perturbation, diagnostic intermediate or rescue data were located	SRC-AS-001;SRC-AS-002;SRC-AS-003;SRC-AS-009	bounded direct-species search	Yarrowia	not_located	low	No native reaction-level dependency claim
CLM-QP-001	pool	Historical-name Yarrowia isolates contain a nonzero Q9 pool	SRC-QP-001;SRC-QP-003;SRC-QP-006	whole-cell identity and direct-species grey evidence	Yarrowia species-level	supported	medium_high	Supports biological presence, not a coefficient
CLM-QP-002	pool	W29/CLIB89 or PO1f under SD-Leu/comparable growth has measured total Q9+Q9H2 in mmol/gDCW	SRC-QP-001;SRC-QP-002;SRC-QP-003;SRC-QP-009	bounded quantitative search	target strain and condition	not_located	low	No c_Q parameter
CLM-QP-003	turnover	Yarrowia-specific CoQ9 half-life or degradation rate has been measured	SRC-QP-004;SRC-QP-005;SRC-QP-010	bounded turnover search	Yarrowia	not_located	low	No k_deg parameter
CLM-QP-004	pool	Extracted-oil percentage or purified complex-I occupancy can supply a whole-cell c_Q	SRC-QP-003;SRC-QP-004;SRC-QP-005	denominator and preparation audit	target coefficient	contradicted	high	Exclude these numbers from calibration
CLM-QP-005	pool	Other-yeast Q6 dry-weight measurements can be transferred to Yarrowia Q9	SRC-QP-007;SRC-QP-008	cross-species quantitative comparison	PO1f/W29 coefficient	unsupported	high	Comparator context only
CLM-DEC-001	decision	At least one reviewed new direct-catalyst or accessory mapping passed the prespecified runtime gate	CLM-C6-003;CLM-C6-007;CLM-C6-008;CLM-AS-002;CLM-AS-004;CLM-AS-005	gated synthesis	current model targets	no	high	Do not run a new mapped nine-gene counterfactual
CLM-DEC-002	decision	The review authorizes a numerical CoQ9 demand or degradation parameter	CLM-QP-002;CLM-QP-003;CLM-QP-004;CLM-QP-005	gated synthesis	PO1f SD-Leu H-Q9-1	no	high	Keep H-Q9-1 sensitivity_only_not_calibrated
CLM-DEC-003	decision	The review authorizes an EGC candidate or formal model/GPR change	CLM-DEC-001;CLM-DEC-002	human-gated synthesis	formal pipeline	no	high	No EGC created; no model change
